date,plotlong,project,SubplotID,plot.side,nps,ndvi,gf,open,lai,ratio,ci
6/20/2019,D01EC ,forte,D01E,E,C,0.623,9.84,10.39,2.4,0.259583333,0.898
6/20/2019,D03WC ,forte,D03W,W,C,0.674,9.14,9.97,2.4925,0.270411234,0.738
6/20/2019,D03EC ,forte,D03E,E,C,0.685,6.48,6.96,2.735,0.250457038,0.824
6/20/2019,D02EC ,forte,D02E,E,C,0.61,12.8,13.34,2.2875,0.266666667,0.828
6/20/2019,D04WC ,forte,D04W,W,C,0.66,10.86,10.68,3.0875,0.213765182,0.878
6/20/2019,C04EC ,forte,C04E,E,C,0.636,12.51,13.05,2.13,0.298591549,0.83
6/20/2019,C04WC ,forte,C04W,W,C,0.715,5.59,6.06,3.195,0.223787167,0.926
6/20/2019,C03EC ,forte,C03E,E,C,0.649,6.63,7.31,2.73,0.237728938,0.828
6/20/2019,C03WC ,forte,C03W,W,C,0.735,6.83,7.18,2.865,0.256544503,0.844
6/20/2019,C02EC ,forte,C02E,E,C,0.821,4.13,4.16,3.64,0.225549451,0.77
6/20/2019,C02WC ,forte,C02W,W,C,0.716,5.02,5.63,3.1375,0.228207171,0.89
6/20/2019,C01EC ,forte,C01E,E,C,0.726,5.5,5.98,3.1575,0.229928741,0.874
6/28/2019,D04EC ,forte,D04E,E,C,0.54,16.3,17.13,1.7575,0.307254623,0.874
6/28/2019,D04EN,forte,D04E,E,N,0.4,21.81,23.61,1.4825,0.269814503,0.81
6/28/2019,D04EE ,forte,D04E,E,E,0.562,12.98,13.54,2.145,0.262004662,0.858
6/28/2019,D04ES,forte,D04E,E,S,0.405,17.03,19.01,1.74,0.232758621,0.636
6/28/2019,D04EW,forte,D04E,E,W,0.511,15.42,16.3,1.855,0.275471698,0.804
6/28/2019,D04WC ,forte,D04W,W,C,0.61,13.72,13.72,2.68,0.22761194,0.862
6/28/2019,D04WN,forte,D04W,W,N,0.524,16.09,17.07,1.8775,0.279094541,0.7
6/28/2019,D04WE ,forte,D04W,W,E,0.384,20.82,23.64,1.51,0.254304636,0.558
6/28/2019,D04WS,forte,D04W,W,S,0.407,19.64,21.61,1.5125,0.269090909,0.688
6/28/2019,D04WW,forte,D04W,W,W,0.43,21.54,23.17,1.4375,0.299130435,0.796
6/28/2019,D02EC ,forte,D02E,E,C,0.55,12.93,13.58,2.1,0.261904762,0.866
6/28/2019,D02EN,forte,D02E,E,N,0.441,14.35,15.76,1.84,0.239673913,0.838
6/28/2019,D02EE ,forte,D02E,E,E,0.693,7.53,8.03,2.53,0.273913043,0.806
6/28/2019,D02ES,forte,D02E,E,S,0.54,10.98,11.86,2.2275,0.242424242,0.836
6/28/2019,D02EW,forte,D02E,E,W,0.44,15.43,16.63,1.73,0.25433526,0.876
6/28/2019,D02WC ,forte,D02W,W,C,0.601,10.78,11.68,2.14,0.280841121,0.866
6/28/2019,D02WN,forte,D02W,W,N,0.383,18.62,20.07,1.5625,0.24512,0.916
6/28/2019,D02WE ,forte,D02W,W,E,0.681,9.07,9.42,2.57,0.264980545,0.874
6/28/2019,D02WS,forte,D02W,W,S,0.373,18,20.01,1.6275,0.229185868,0.862
6/28/2019,D02WW,forte,D02W,W,W,0.406,21.57,23.3,1.4075,0.288454707,0.832
6/29/2019,D03WC ,forte,D03W,W,C,0.651,7.11,7.77,2.9875,0.21790795,0.556
6/29/2019,D03WN,forte,D03W,W,N,0.576,11.64,12.2,2.3,0.250434783,0.842
6/29/2019,D03WE ,forte,D03W,W,E,0.791,4.61,4.7,3.685,0.214654003,0.842
6/29/2019,D03WS,forte,D03W,W,S,0.847,2.95,2.99,4.06,0.20862069,0.798
6/29/2019,D03WW,forte,D03W,W,W,0.639,6.76,6.91,3.0225,0.211414392,0.83
6/29/2019,D03EC ,forte,D03E,E,C,0.618,7.59,8.11,2.595,0.238150289,0.82
6/29/2019,D03EN,forte,D03E,E,N,0.532,11.36,12.69,2.325,0.228817204,0.848
6/29/2019,D03EE ,forte,D03E,E,E,0.66,6.96,7.33,2.865,0.230366492,0.82
6/29/2019,D03ES,forte,D03E,E,S,0.47,10.67,11.86,2.225,0.211235955,0.836
6/29/2019,D03EW,forte,D03E,E,W,0.698,7,7.61,2.9725,0.234819176,0.71
6/29/2019,D01EC ,forte,D01E,E,C,0.641,7.67,7.99,2.8525,0.224715162,0.858
6/29/2019,D01EN,forte,D01E,E,N,0.566,8.91,9.84,2.49,0.227309237,0.808
6/29/2019,D01EE ,forte,D01E,E,E,0.666,6.01,6.29,2.9775,0.223677582,0.818
6/29/2019,D01ES,forte,D01E,E,S,0.679,7.68,7.86,2.91,0.233333333,0.866
6/29/2019,D01EW,forte,D01E,E,W,0.582,10.79,11.05,2.4225,0.240247678,0.894
6/29/2019,D01WC ,forte,D01W,W,C,0.543,10.63,11.47,2.24,0.242410714,0.754
6/29/2019,D01WN,forte,D01W,W,N,0.657,9.21,9.72,2.51,0.261752988,0.738
6/29/2019,D01WE ,forte,D01W,W,E,0.594,9.04,9.29,2.52,0.235714286,0.754
6/29/2019,D01WS,forte,D01W,W,S,0.532,8.19,8.95,2.74,0.194160584,0.824
6/29/2019,D01WW,forte,D01W,W,W,0.512,12.3,13.03,2.175,0.235402299,0.74
6/29/2019,D03WC ,forte,D03W,W,C,0.652,7.12,7.77,2.9875,0.218242678,0.556
6/29/2019,D03WN,forte,D03W,W,N,0.576,11.65,12.22,2.3,0.250434783,0.84
6/29/2019,D03WS,forte,D03W,W,S,0.848,2.99,3.04,4.0475,0.209512044,0.798
6/29/2019,D03EC ,forte,D03E,E,C,0.618,7.6,8.12,2.595,0.238150289,0.82
6/29/2019,D03EE ,forte,D03E,E,E,0.66,7,7.35,2.8575,0.230971129,0.82
6/29/2019,D03ES,forte,D03E,E,S,0.47,10.69,11.87,2.225,0.211235955,0.836
6/29/2019,D01EW,forte,D01E,E,W,0.582,10.82,11.06,2.4225,0.240247678,0.894
7/5/2019,A03EC ,forte,A03E,E,C,0.829,4.09,4.35,3.33,0.248948949,0.826
7/5/2019,A03EN,forte,A03E,E,N,0.857,3.65,3.75,3.7225,0.230221625,0.804
7/5/2019,A03EE ,forte,A03E,E,E,0.731,8.17,8.59,2.565,0.284990253,0.71
7/5/2019,A03ES,forte,A03E,E,S,0.815,4.61,5.06,3.385,0.240768095,0.786
7/5/2019,A03EW,forte,A03E,E,W,0.764,5.44,5.84,3.145,0.242925278,0.778
7/5/2019,A03WC ,forte,A03W,W,C,0.828,3.2,3.25,3.765,0.219920319,0.862
7/5/2019,A03WN,forte,A03W,W,N,0.682,7.68,8.3,2.5575,0.266666667,0.76
7/5/2019,A03WE ,forte,A03W,W,E,0.778,5.15,5.49,3.3525,0.232065623,0.628
7/5/2019,A03WS,forte,A03W,W,S,0.863,2.4,2.57,4.23,0.204018913,0.832
7/5/2019,A03WW,forte,A03W,W,W,0.801,4.43,4.65,3.2025,0.250117096,0.848
7/5/2019,A04WC ,forte,A04W,W,C,0.835,2.96,3.04,4.295,0.194412107,0.842
7/5/2019,A04WN,forte,A04W,W,N,0.803,3.1,3.32,3.7625,0.213421927,0.866
7/5/2019,A04WE ,forte,A04W,W,E,0.827,2.78,2.93,3.8425,0.215224463,0.888
7/5/2019,A04WS,forte,A04W,W,S,0.813,2.57,2.8,3.7625,0.216079734,0.868
7/5/2019,A04WW,forte,A04W,W,W,0.804,3.02,3.29,3.6125,0.222560554,0.87
7/5/2019,A04EC ,forte,A04E,E,C,0.844,2.17,2.43,4.1325,0.204234725,0.738
