replicate,plot,subplot,latitude_subplot,longitude_subplot,subplot_area_m2,disturbance_severity,treatment
A,1,E,45.5634,-84.7285,1000,85,B
A,1,W,45.5634,-84.7285,1000,85,T
A,2,E,45.5642,-84.728,1000,45,T
A,2,W,45.5642,-84.728,1000,45,B
A,3,E,45.563,-84.7271,1000,65,B
A,3,W,45.563,-84.7271,1000,65,T
A,4,E,45.5637,-84.7264,1000,0,B
A,4,W,45.5637,-84.7264,1000,0,T
B,1,E,45.5567,-84.7268,1000,0,B
B,1,W,45.5567,-84.7268,1000,0,T
B,2,E,45.5558,-84.7268,1000,45,T
B,2,W,45.5558,-84.7268,1000,45,B
B,3,E,45.5562,-84.7257,1000,85,B
B,3,W,45.5562,-84.7257,1000,85,T
B,4,E,45.5562,-84.7244,1000,65,T
B,4,W,45.5562,-84.7244,1000,65,B
C,1,E,45.5625,-84.7078,1000,0,T
C,1,W,45.5625,-84.7078,1000,0,B
C,2,E,45.5631,-84.7067,1000,65,B
C,2,W,45.5631,-84.7067,1000,65,T
C,3,E,45.5631,-84.7054,1000,85,B
C,3,W,45.5631,-84.7054,1000,85,T
C,4,E,45.5638,-84.7034,1000,45,T
C,4,W,45.5638,-84.7034,1000,45,B
D,1,E,45.5609,-84.707,1000,0,B
D,1,W,45.5609,-84.707,1000,0,T
D,2,E,45.562,-84.705,1000,85,B
D,2,W,45.562,-84.705,1000,85,T
D,3,E,45.5604,-84.7045,1000,45,B
D,3,W,45.5604,-84.7045,1000,45,T
D,4,E,45.5618,-84.7036,1000,65,T
D,4,W,45.5618,-84.7036,1000,65,B
