subplot_id,year,mean.height.mean,height.2,mean.height.median,mean.height.var,mean.height.rms,transect.length,can.max.ht,moch,can.max.ht.median,vai.mean,vai.sd,vai.median,vai.column.max,vai.max.ht.mean,vai.max.ht.sd,vai.max.ht.median,vai.max,vai.mean.peak,vai.peak.sd,vai.peak.median,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,median.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl,fhd,gini,mean.intensity,median.intensity,sd.intensity,max.intensity,min.intensity,skew.intensity,kurtosis.intensity,p10,p25,p50,p75,p90,
C03W,2019,6.940161289,3.488720938,5.9413896,12.17117378,7.748079321,40,24.901,15.558625,15.792,6.084823763,1.93147299,6.710781153,8,5.375,2.94119721,4,7.638218445,3.451099125,1.744258315,3.313677951,0,0,0.705769231,266.1953965,10.47165771,12.51158588,6.692615554,5.893264928,4.419706107,4.206,7.553351127,92.44664887,24.901,2182.6,5.4,0.899368284,18.90872375,2.47601748,1.389366071,48.78840935,48,12.81716356,97,5,-0.016775528,2.894582193,2.306,3.16,4.206,7.462,10.749,
C03W,2019,8.035229446,3.052675555,7.466561341,9.318828043,8.577477058,30,23.355,18.49446667,21.311,5.955523189,1.841219345,6.09505461,8,7.1,4.641269149,6,5.99108928,2.979387648,1.395600669,2.9326743,0,0,0.597222222,346.0994346,14.80327304,11.26776561,5.079465996,7.044358082,4.382038427,6.149,6.368251642,93.63174836,23.355,2547.666667,6.033333333,0.944346598,21.08826479,2.709787416,1.620779388,52.50996395,54,13.66809558,94,6,-0.169811577,2.870060931,2.356,3.378,6.148,9.035,13.083,
C04E,2019,9.964742337,3.997616807,9.220982557,15.98094013,10.71809248,40,21.701,16.478875,17.5655,4.473808884,2.838487515,4.664207224,8,8.75,5.187509654,7.5,5.546197431,2.210002387,1.566545701,2.17969808,1,0.025,0.648913043,245.9039501,11.89292944,10.22067412,4.693992561,8.116228783,4.769830466,6.939,24.32750156,75.67249844,21.701,2530.8,4.475,0.921375066,18.49477043,2.717780342,1.713090957,67.22583551,69,18.89467277,126,6,-0.463408003,3.016183198,2.448,3.922,6.939,11.981,14.774,
C04E,2019,8.35771684,3.809565344,7.815896414,14.51278811,9.165227721,40,21.553,12.560125,12.8035,6.065666898,2.894031671,8,8,7.675,4.598703831,6.5,7.712550899,3.246240283,2.073349641,3.224286492,0,0,0.742391304,236.2450253,9.367529672,12.18582837,5.304897168,6.305686832,4.36199366,5.132,16.20340873,83.79659127,21.553,1883.525,4.95,0.942727565,17.71333964,2.771093527,1.768141873,68.5166892,70,34.96042938,7658,5,162.0324768,35184.94413,2.104,2.899,5.1275,9.103,12.1847,
C04W,2019,11.76470774,4.308904445,12.02940388,18.56665751,12.51042922,40,20.848,15.5878,17.972,6.809928316,2.023487121,8,8,11.975,5.924687593,13,7.527555981,3.594578474,1.649358739,3.360406794,0,0,0.685227273,474.2117609,15.10598949,15.68505156,4.647491693,8.349294989,5.460565294,6.916,7.083456684,92.91654332,20.848,1857.975,3.875,0.958173709,18.85696731,2.834451744,1.959047147,70.38354815,74,18.6856031,119,5,-0.557865437,2.944088687,1.881,3.537,6.915,11.171,17.715,
D01E,2019,9.822335771,2.996969557,9.860073179,8.981826523,10.25843852,40,18.415,14.100675,14.678,6.041704054,2.483611362,7.12054421,8,9.75,4.595147943,9,7.340882239,3.006969143,1.581969427,2.866081752,1,0.025,0.635526316,149.6451163,9.440284185,7.779855451,3.347572687,7.423761024,3.292384267,6.888,13.58002911,86.41997089,18.415,2267.425,3.65,0.894821864,14.25924549,2.616690177,1.035638143,72.30346411,74,14.9385931,121,5,-0.836846569,4.713404653,4.052,4.74,6.888,9.459,12.518,
D01E,2019,11.72696381,2.125347024,12.06031325,4.517099971,11.91326373,40,20.212,14.8905,15.403,6.698358183,2.184313928,8,8,12.05,3.672140436,13,6.184971215,3.2771511,1.496712652,3.295795657,0,0,0.683333333,149.6404749,8.774170159,8.523755798,2.663318818,8.876519525,3.348906892,8.687,5.20296145,94.79703855,20.212,1958.625,3.05,0.899674628,15.22289157,2.591699096,1.596911753,75.24545197,77,15.45369192,123,4,-1.011449206,4.998737924,4.766,6.192,8.687,11.16,13.3072,
D01W,2019,8.786807184,3.649514121,8.432443103,13.31895332,9.497050067,40,19.276,12.792075,13.3815,5.984991451,2.892939482,8,8,8.375,5.036724108,7.5,6.74875462,2.932447475,1.714867193,3.054009148,0,0,0.67375,278.9671295,10.68992927,12.8332592,4.6906315,6.056575722,4.335216646,4.693,17.9509476,82.0490524,19.649,2242.625,4.075,0.915231232,15.76510067,2.81651283,1.429984406,69.77045277,73,17.23584639,115,3.783,-0.651800717,3.378262075,2.009,2.835,4.693,7.45,13.113,
D01W,2019,9.291734421,4.898713255,9.616749318,23.99739156,10.47538951,40,19.873,13.689625,16.676,5.174150104,3.14883019,6.332065058,8,8.8,5.769948673,9,6.016374232,2.437038019,1.69802251,2.743993207,4,0.1,0.7,270.4026303,11.09357315,12.13817388,6.28753169,8.062950008,5.197290814,6.913,25.98057581,74.01942419,19.873,2602.55,3.675,0.94746032,17.29411765,2.779566103,1.897621559,69.82985516,73,17.89473553,120,6,-0.668815006,3.314425977,2.158,3.062,6.908,12.988,15.7148,
D03E,2019,11.156166,4.284606794,11.33310009,18.35785538,11.93142694,40,22.507,16.14085,17.787,4.731079203,2.953196829,5.05938426,8,10.825,5.382247648,11,6.589989981,2.231053978,1.614585247,1.934056565,0,0,0.725,259.5070195,11.38212984,11.39974297,4.489053767,8.416477233,5.088242149,5.99,20.67611625,79.32388375,22.507,2139.55,3.85,0.937356605,18.48700265,2.884294847,1.594331544,69.58074305,72,17.77338445,908,5,0.820236814,76.52413693,2.931,4.491,5.99,12.63625,16.13,
