"subplot","nested_subplot","species","basal_diameter_cm","height_budscar_cm","height_total_cm","date"
"A01W",6,"ACRU","0-1",0,"5.1","2019-06-19"
"A01W",6,"ACPE","0-1",41,"43.5","2019-06-19"
"A01W",6,"ACPE","0-1",57,"61.2","2019-06-19"
"A01W",6,"ACPE","0-1",34,"37.8","2019-06-19"
"A01W",6,"ACSA","0-1",10.8,"11.0","2019-06-19"
"A01W",6,"ACRU","0-1",4,"5.6","2019-06-19"
"A01W",6,"ACRU","0-1",4.5,"5.4","2019-06-19"
"A01W",6,"ACRU","0-1",3,"5.3","2019-06-19"
"A01W",6,"ACRU","0-1",4,"4.2","2019-06-19"
"A01W",6,"ACRU","0-1",4.5,"5.1","2019-06-19"
"A01W",6,"ACRU","0-1",4.2,"4.6","2019-06-19"
"A01W",6,"ACPE","0-1",15.2,"16.5","2019-06-19"
"A01W",6,"ACRU","0-1",6,"6.3","2019-06-19"
"A01W",6,"ACRU","0-1",4.5,"5.0","2019-06-19"
"A01W",6,"ACRU","0-1",4.4,"4.7","2019-06-19"
"A01W",6,"ACPE","0-1",7.8,"8.5","2019-06-19"
"A01W",6,"ACRU","0-1",6.5,"7.2","2019-06-19"
"A01W",6,"ACRU","0-1",4,"4.1","2019-06-19"
"A01W",6,"ACRU","0-1",7,"8.2","2019-06-19"
"A01W",6,"ACRU","0-1",3.6,"4.0","2019-06-19"
"A01W",6,"ACPE","0-1",21,"23.5","2019-06-19"
"A01W",6,"ACRU","0-1",4.3,"5.1","2019-06-19"
"A01W",6,"ACRU","0-1",7,"7.8","2019-06-19"
"A01W",6,"VBAC","0-1",9.2,"10.4","2019-06-19"
"A01W",6,"ACRU","0-1",9.8,"10.0","2019-06-19"
"A01W",6,"ACRU","0-1",5.1,"5.5","2019-06-19"
"A01W",6,"ACPE","0-1",11.1,"12.8","2019-06-19"
"A01W",6,"ACRU","0-1",0,"5.5","2019-06-19"
"A01W",6,"ACRU","0-1",0,"2.0","2019-06-19"
"A01W",6,"ACRU","0-1",0,"5.1","2019-06-19"
"A01W",6,"ACRU","0-1",5.5,"6.9","2019-06-19"
"A01W",6,"ACRU","0-1",2.1,"4.0","2019-06-19"
"A01W",8,"FAGR","0-1",121.5,"127.2","2019-06-19"
"A01W",8,"FAGR","0-1",89.5,"91.6","2019-06-19"
"A01W",8,"FAGR","0-1",60.5,"61.6","2019-06-19"
"A01W",8,"FAGR","0-1",91.2,"92.0","2019-06-19"
"A01W",8,"FAGR","0-1",73.5,"75.8","2019-06-19"
"A01W",8,"FAGR","0-1",200,"205.5","2019-06-19"
"A01W",8,"ACRU","0-1",3.9,"4.3","2019-06-19"
"A01W",8,"ACRU","0-1",6.5,"7.5","2019-06-19"
"A01W",8,"ACRU","0-1",6.5,"7.5","2019-06-19"
"A01W",8,"ACRU","0-1",5.9,"6.3","2019-06-19"
"A01W",8,"ACSA","0-1",5.8,"6.4","2019-06-19"
"A01W",8,"ACRU","0-1",5,"5.4","2019-06-19"
"A01W",8,"ACRU","0-1",10,"10.6","2019-06-19"
"A01W",8,"ACRU","0-1",3.5,"4.5","2019-06-19"
"A01W",8,"ACPE","0-1",80.5,"83.7","2019-06-19"
"A01W",8,"ACRU","0-1",11.5,"12.4","2019-06-19"
"A01W",8,"ACRU","0-1",9.3,"10.9","2019-06-19"
"A01W",8,"ACRU","0-1",11.8,"12.4","2019-06-19"
"A01W",8,"ACRU","0-1",6.5,"7.6","2019-06-19"
"A01W",8,"ACRU","0-1",9.8,"10.1","2019-06-19"
"A01W",8,"ACRU","0-1",7.7,"7.8","2019-06-19"
"A01W",8,"ACRU","0-1",10,"10.5","2019-06-19"
"A01W",8,"ACRU","0-1",8,"8.5","2019-06-19"
"A01W",8,"ACRU","0-1",8.3,"8.6","2019-06-19"
"A01W",8,"ACRU","0-1",4.8,"5.4","2019-06-19"
"A01W",8,"ACPE","0-1",30.5,"32.7","2019-06-19"
"A01W",8,"ACRU","0-1",14.8,"15.5","2019-06-19"
"A01W",8,"ACRU","0-1",12.6,"13.0","2019-06-19"
"A01W",8,"ACRU","0-1",14,"14.4","2019-06-19"
"A01W",8,"ACRU","0-1",8.7,"9.0","2019-06-19"
"A01W",8,"ACRU","0-1",11.5,"12.0","2019-06-19"
"A01W",8,"ACRU","0-1",10,"10.3","2019-06-19"
"A01W",8,"ACSA","0-1",23.2,"23.4","2019-06-19"
"A01W",8,"ACRU","0-1",12,"13.3","2019-06-19"
"A01W",8,"ACRU","0-1",18.8,"19.3","2019-06-19"
"A01W",8,"ACRU","0-1",5.2,"6.0","2019-06-19"
"A01W",8,"ACRU","0-1",9.2,"10.0","2019-06-19"
"A01W",8,"ACRU","0-1",7.5,"7.8","2019-06-19"
"A01W",8,"ACRU","0-1",6.8,"7.4","2019-06-19"
"A01W",8,"ACPE","0-1",9,"10.2","2019-06-19"
"A01W",8,"ACRU","0-1",6.5,"7.3","2019-06-19"
"A02E",2,"ACPE","0-1",12,"14.8","2019-06-19"
"A02E",2,"ACPE","0-1",3,"5.3","2019-06-19"
"A02E",2,"ACPE","0-1",21.1,"23.3","2019-06-19"
"A02E",2,"ACSA","0-1",4.5,"5.1","2019-06-19"
"A02E",2,"ACPE","0-1",13,"14.4","2019-06-19"
"A02E",2,"ACPE","0-1",13.4,"14.5","2019-06-19"
"A02E",2,"ACPE","0-1",45.5,"47.0","2019-06-19"
"A02E",2,"ACPE","0-1",38.1,"40.0","2019-06-19"
"A02E",2,"ACPE","0-1",14,"15.0","2019-06-19"
"A02E",2,"FAGR","0-1",175.7,"176.3","2019-06-19"
"A02E",2,"ACPE","0-1",62.4,"64.6","2019-06-19"
"A02E",2,"ACPE","0-1",46.2,"48.7","2019-06-19"
"A02E",2,"ACPE","0-1",40,"41.9","2019-06-19"
"A02E",2,"ACRU","0-1",0,"4.0","2019-06-19"
"A02E",2,"ACRU","0-1",0,"3.3","2019-06-19"
"A02E",2,"ACRU","0-1",6,"6.2","2019-06-19"
"A02E",2,"ACSA","0-1",9,"9.5","2019-06-19"
"A02E",4,"ACSA","0-1",13,"13.6","2019-06-19"
"A02E",4,"ACPE","0-1",46.4,"50.2","2019-06-19"
"A02E",4,"ACRU","0-1",0,"7.1","2019-06-19"
"A02E",4,"ACRU","0-1",12,"12.3","2019-06-19"
"A02E",4,"ACRU","0-1",0,"3.2","2019-06-19"
"A02E",4,"ACPE","0-1",10.4,"13.4","2019-06-19"
"A02E",4,"ACRU","0-1",0,"5.0","2019-06-19"
"A02E",4,"ACRU","0-1",0,"4.7","2019-06-19"
"A02E",4,"ACSA","0-1",14.8,"17.0","2019-06-19"
"A02E",4,"ACSA","0-1",0,"6.2","2019-06-19"
"A02E",4,"ACRU","0-1",0,"4.7","2019-06-19"
"A02E",4,"ACPE","0-1",1.5,"7.6","2019-06-19"
"A02E",4,"ACRU","0-1",0,"6.0","2019-06-19"
"A02E",4,"ACPE","0-1",14.8,"17.1","2019-06-19"
"A02E",6,"ACSA","0-1",12,"12.6","2019-06-19"
"A02E",6,"ACPE","0-1",31.9,"35.0","2019-06-19"
"A02E",6,"ACPE","0-1",24.3,"25.8","2019-06-19"
"A02E",6,"FAGR","0-1",76.6,"79.5","2019-06-19"
"A02E",6,"ACSA","0-1",11.6,"12.4","2019-06-19"
"A02E",6,"ACPE","0-1",10.4,"12.7","2019-06-19"
"A02E",6,"ACRU","0-1",0,"6.2","2019-06-19"
"A02E",6,"ACRU","0-1",0,"4.9","2019-06-19"
"A02E",6,"ACPE","0-1",188.8,"191.6","2019-06-19"
"A02E",6,"ACPE","0-1",90,"91.7","2019-06-19"
"A02E",6,"ACPE","0-1",6.6,"9.2","2019-06-19"
"A02E",6,"ACPE","0-1",5.6,"8.7","2019-06-19"
"A02E",6,"ACPE","0-1",8.2,"10.5","2019-06-19"
"A02E",6,"ACRU","0-1",0,"5.5","2019-06-19"
"A02E",6,"ACRU","0-1",0,"4.2","2019-06-19"
"A02E",6,"FAGR","0-1",105.6,"109.2","2019-06-19"
"A02E",6,"ACSA","0-1",24,"24.8","2019-06-19"
"A02E",6,"ACSA","0-1",10.5,"12.5","2019-06-19"
"A02E",6,"ACSA","0-1",12.4,"13.6","2019-06-19"
"A02E",6,"ACRU","0-1",0,"4.7","2019-06-19"
"A02E",8,"ACPE","0-1",0,"2.0","2019-06-19"
"A02E",8,"ACPE","0-1",0,"2.2","2019-06-19"
"A02W",2,"ACSA","0-1",8.6,"9.2","2019-06-19"
"A02W",2,"ACPE","0-1",43.6,"46.1","2019-06-19"
"A02W",2,"ACPE","0-1",52.2,"54.3","2019-06-19"
"A02W",2,"ACPE","0-1",46.1,"47.9","2019-06-19"
"A02W",2,"ACPE","0-1",8.7,"10.4","2019-06-19"
"A02W",2,"ACPE","0-1",41.2,"43.7","2019-06-19"
"A02W",2,"ACPE","1-2",218,"229.0","2019-06-19"
"A02W",2,"ACPE","0-1",4,"10.6","2019-06-19"
"A02W",2,"ACPE","0-1",49.5,"51.3","2019-06-19"
"A02W",2,"ACPE","0-1",46,"48.4","2019-06-19"
"A02W",2,"ACSA","0-1",14,"15.0","2019-06-19"
"A02W",2,"ACPE","0-1",0,"3.9","2019-06-19"
"A02W",2,"ACPE","0-1",16,"17.6","2019-06-19"
"A02W",2,"ACPE","1-2",219.5,"228.2","2019-06-19"
"A02W",2,"ACPE","0-1",46,"49.5","2019-06-19"
"A02W",2,"ACPE","0-1",61,"65.2","2019-06-19"
"A02W",2,"ACPE","0-1",6.8,"7.8","2019-06-19"
"A02W",2,"ACPE","0-1",2.5,"4.8","2019-06-19"
"A02W",2,"ACSA","0-1",11,"12.1","2019-06-19"
"A02W",2,"ACSA","0-1",12,"12.2","2019-06-19"
"A02W",4,"ACPE","0-1",90.6,"92.4","2019-06-19"
"A02W",4,"FAGR","0-1",20.1,"23.3","2019-06-19"
"A02W",4,"ACPE","0-1",0,"15.4","2019-06-19"
"A02W",4,"ACPE","0-1",29.8,"43.2","2019-06-19"
"A02W",4,"ACPE","0-1",11,"18.9","2019-06-19"
"A02W",4,"ACPE","0-1",104.6,"110.1","2019-06-19"
"A02W",4,"ACPE","0-1",140.6,"142.8","2019-06-19"
"A02W",4,"ACPE","0-1",165.4,"166.4","2019-06-19"
"A02W",4,"ACPE","0-1",16,"18.5","2019-06-19"
"A02W",4,"ACPE","0-1",37.5,"38.9","2019-06-19"
"A02W",4,"ACPE","0-1",71,"74.0","2019-06-19"
"A02W",4,"ACPE","0-1",19.5,"24.2","2019-06-19"
"A02W",4,"ACPE","0-1",34.8,"38.7","2019-06-19"
"A02W",4,"ACPE","0-1",18.1,"21.0","2019-06-19"
"A02W",4,"ACPE","0-1",111,"112.8","2019-06-19"
"A02W",4,"ACPE","0-1",16.8,"19.4","2019-06-19"
"A02W",4,"ACPE","0-1",39,"41.9","2019-06-19"
"A02W",6,"ACPE","0-1",48.8,"71.4","2019-06-19"
"A02W",6,"ACRU","0-1",9,"9.8","2019-06-19"
"A02W",6,"ACSA","0-1",12.8,"13.4","2019-06-19"
"A02W",6,"ACPE","0-1",95.5,"107.4","2019-06-19"
"A02W",6,"ACPE","0-1",2.5,"6.9","2019-06-19"
"A02W",6,"ACPE","0-1",0,"3.5","2019-06-19"
"A02W",6,"ACPE","0-1",47.1,"49.7","2019-06-19"
"A02W",6,"ACSA","0-1",15.8,"16.6","2019-06-19"
"A02W",6,"ACSA","0-1",12.5,"13.9","2019-06-19"
"A02W",6,"VBAC","0-1",6.2,"8.2","2019-06-19"
"A02W",6,"ACPE","0-1",83.9,"93.8","2019-06-19"
"A02W",6,"FRAM","0-1",21.5,"26.6","2019-06-19"
"A02W",6,"ACSA","0-1",14.7,"16.6","2019-06-19"
"A02W",6,"ACPE","0-1",99.7,"103.3","2019-06-19"
"A02W",6,"ACRU","0-1",7.3,"10.0","2019-06-19"
"A02W",6,"ACRU","0-1",0,"5.2","2019-06-19"
"A02W",6,"ACRU","0-1",0,"6.0","2019-06-19"
"A02W",6,"ACRU","0-1",10.5,"11.2","2019-06-19"
"A02W",6,"ACRU","0-1",5.4,"6.3","2019-06-19"
"A02W",6,"FAGR","0-1",98,"119.8","2019-06-19"
"A02W",8,"ACSA","0-1",13,"14.2","2019-06-19"
"A02W",8,"ACPE","0-1",11,"14.4","2019-06-19"
"A02W",8,"ACPE","0-1",44,"48.4","2019-06-19"
"A02W",8,"ACPE","0-1",48.7,"60.2","2019-06-19"
"A02W",8,"ACPE","0-1",19.5,"22.5","2019-06-19"
"A02W",8,"ACSA","0-1",17,"26.8","2019-06-19"
"A02W",8,"ACPE","0-1",0,"4.6","2019-06-19"
"A02W",8,"ACPE","0-1",0,"5.0","2019-06-19"
"A02W",8,"ACPE","0-1",43.6,"52.7","2019-06-19"
"A02W",8,"ACPE","0-1",66.2,"69.6","2019-06-19"
"A02W",8,"ACRU","0-1",7.4,"8.7","2019-06-19"
"A02W",8,"ACPE","0-1",10.7,"12.2","2019-06-19"
"A02W",8,"ACSA","0-1",10.1,"10.7","2019-06-19"
"A02W",8,"ACPE","0-1",12.5,"14.8","2019-06-19"
"A02W",8,"ACPE","0-1",26.8,"32.0","2019-06-19"
"A02W",8,"AMEL","0-1",26.5,"28.9","2019-06-19"
"A02W",8,"AMEL","0-1",13.2,"14.9","2019-06-19"
"A02W",8,"ACRU","0-1",0,"7.8","2019-06-19"
"A03E",2,"ACRU","0-1",5.9,"7.2","2019-06-19"
"A03E",2,"ACRU","0-1",6.6,"7.4","2019-06-19"
"A03E",2,"ACRU","0-1",0,"6.0","2019-06-19"
"A03E",2,"ACRU","0-1",0,"6.3","2019-06-19"
"A03E",2,"ACPE","0-1",19,"19.4","2019-06-19"
"A03E",2,"ACPE","0-1",0,"6.7","2019-06-19"
"A03E",2,"ACPE","0-1",0,"6.4","2019-06-19"
"A03E",2,"ACSA","0-1",13,"13.9","2019-06-19"
"A03E",2,"FAGR","0-1",64,"64.9","2019-06-19"
"A03E",2,"ACRU","0-1",7,"11.1","2019-06-19"
"A03E",2,"ACRU","0-1",6,"7.4","2019-06-19"
"A03E",2,"FAGR","0-1",37.4,"39.1","2019-06-19"
"A03E",2,"FAGR","0-1",36.5,"41.6","2019-06-19"
"A03E",2,"FAGR","0-1",54.6,"57.3","2019-06-19"
"A03E",2,"ACSA","0-1",11,"11.2","2019-06-19"
"A03E",2,"ACSA","0-1",15.4,"16.4","2019-06-19"
"A03E",2,"ACPE","0-1",10.6,"13.0","2019-06-19"
"A03E",2,"ACRU","0-1",9,"10.5","2019-06-19"
"A03E",2,"ACSA","0-1",11.3,"12.4","2019-06-19"
"A03E",2,"ACRU","0-1",6.1,"6.6","2019-06-19"
"A03E",2,"ACRU","0-1",5.6,"6.7","2019-06-19"
"A03E",2,"ACPE","0-1",7.9,"9.0","2019-06-19"
"A03E",2,"FAGR","0-1",61.5,"64.1","2019-06-19"
"A03E",2,"FAGR","0-1",58.7,"62.9","2019-06-19"
"A03E",2,"ACSA","0-1",10,"10.4","2019-06-19"
"A03E",2,"ACRU","0-1",7.8,"8.1","2019-06-19"
"A03E",2,"ACRU","0-1",11.2,"12.2","2019-06-19"
"A03E",2,"ACRU","0-1",11,"11.7","2019-06-19"
"A03E",2,"ACRU","0-1",0,"4.7","2019-06-19"
"A03E",2,"ACPE","0-1",14,"16.2","2019-06-19"
"A03E",2,"ACRU","0-1",6.2,"7.0","2019-06-19"
"A03E",2,"ACRU","0-1",3.6,"5.9","2019-06-19"
"A03E",2,"ACRU","0-1",5,"6.7","2019-06-19"
"A03E",2,"ACSA","0-1",11.5,"13.0","2019-06-19"
"A03E",2,"ACSA","0-1",5.5,"6.1","2019-06-19"
"A03E",2,"ACSA","0-1",12,"12.4","2019-06-19"
"A03E",2,"ACPE","0-1",8,"9.8","2019-06-19"
"A03E",4,"ACRU","0-1",7,"7.4","2019-06-19"
"A03E",4,"ACRU","0-1",5.9,"6.4","2019-06-19"
"A03E",4,"ACRU","0-1",7.5,"7.8","2019-06-19"
"A03E",4,"ACRU","0-1",4.8,"5.7","2019-06-19"
"A03E",4,"ACRU","0-1",5.2,"5.5","2019-06-19"
"A03E",4,"ACRU","0-1",7,"7.2","2019-06-19"
"A03E",4,"ACPE","0-1",10.1,"13.2","2019-06-19"
"A03E",4,"ACPE","0-1",5,"7.3","2019-06-19"
"A03E",4,"ACPE","0-1",10,"10.9","2019-06-19"
"A03E",4,"ACSA","0-1",11.7,"12.2","2019-06-19"
"A03E",4,"ACPE","0-1",14.7,"17.9","2019-06-19"
"A03E",4,"ACRU","0-1",5.2,"5.6","2019-06-19"
"A03E",4,"FAGR","0-1",16.7,"17.5","2019-06-19"
"A03E",4,"ACPE","0-1",0,"2.3","2019-06-19"
"A03E",4,"ACPE","0-1",5.3,"6.2","2019-06-19"
"A03E",4,"ACRU","0-1",4.8,"5.5","2019-06-19"
"A03E",4,"ACRU","0-1",8.5,"10.2","2019-06-19"
"A03E",4,"ACRU","0-1",7.4,"8.2","2019-06-19"
"A03E",4,"ACPE","0-1",18,"25.7","2019-06-19"
"A03E",4,"ACPE","0-1",20.1,"23.2","2019-06-19"
"A03E",4,"FAGR","0-1",36,"45.1","2019-06-19"
"A03E",4,"ACRU","0-1",7.4,"7.9","2019-06-19"
"A03E",4,"FAGR","0-1",28,"30.2","2019-06-19"
"A03E",4,"FAGR","0-1",25.1,"27.6","2019-06-19"
"A03E",4,"FAGR","0-1",66.5,"69.1","2019-06-19"
"A03E",4,"FAGR","0-1",52.8,"55.1","2019-06-19"
"A03E",4,"FAGR","0-1",76.3,"77.9","2019-06-19"
"A03E",4,"ACSA","0-1",9.4,"9.6","2019-06-19"
"A03E",4,"ACPE","0-1",19,"20.1","2019-06-19"
"A03E",4,"ACPE","0-1",5.2,"6.3","2019-06-19"
"A03E",4,"ACPE","0-1",3,"3.4","2019-06-19"
"A03E",4,"ACPE","0-1",0,"3.1","2019-06-19"
"A03E",4,"ACPE","0-1",90.4,"92.5","2019-06-19"
"A03E",6,"ACRU","0-1",7.1,"7.3","2019-06-19"
"A03E",6,"ACRU","0-1",5,"5.5","2019-06-19"
