"subplot","nested_subplot","species","basal_diameter_cm","height_budscar_cm","height_total_cm","date"
"A01E",2,"ACSA","0-1",4.6,"6.2","2019-06-19"
"A01E",2,"ACPE","0-1",12.6,"14.7","2019-06-19"
"A01E",2,"ACPE","0-1",15.1,"18.8","2019-06-19"
"A01E",2,"ACPE","0-1",50,"52.2","2019-06-19"
"A01E",2,"ACPE","0-1",48.6,"50.4","2019-06-19"
"A01E",2,"ACRU","0-1",8.4,"9.3","2019-06-19"
"A01E",2,"ACPE","0-1",21.5,"23.1","2019-06-19"
"A01E",2,"ACSA","0-1",9.4,"11.2","2019-06-19"
"A01E",2,"ACSA","0-1",11.5,"12.1","2019-06-19"
"A01E",2,"ACRU","0-1",8.5,"9.3","2019-06-19"
"A01E",2,"ACPE","0-1",17.1,"19.3","2019-06-19"
"A01E",2,"ACPE","0-1",17,"18.2","2019-06-19"
"A01E",2,"ACSA","0-1",14.2,"15.1","2019-06-19"
"A01E",2,"ACSA","0-1",15.1,"15.8","2019-06-19"
"A01E",2,"ACRU","0-1",6.5,"7.0","2019-06-19"
"A01E",2,"ACSA","0-1",8.8,"9.5","2019-06-19"
"A01E",2,NA,"0-1",8.5,"9.1","2019-06-19"
"A01E",2,"ACSA","0-1",15.5,"16.2","2019-06-19"
"A01E",2,"ACSA","0-1",8,"9.3","2019-06-19"
"A01E",2,"ACPE","0-1",85.4,"87.6","2019-06-19"
"A01E",2,"ACPE","0-1",149.6,"153.8","2019-06-19"
"A01E",2,"ACRU","0-1",0,"3.9","2019-06-19"
"A01E",2,"ACSA","0-1",5.4,"6.0","2019-06-19"
"A01E",2,"ACRU","0-1",0,"3.4","2019-06-19"
"A01E",2,"ACRU","0-1",15.6,"17.2","2019-06-19"
"A01E",2,"ACRU","0-1",5.2,"6.0","2019-06-19"
"A01E",2,"ACSA","0-1",12.1,"12.6","2019-06-19"
"A01E",2,"ACSA","0-1",14.2,"15.5","2019-06-19"
"A01E",2,"ACSA","0-1",11.4,"13.2","2019-06-19"
"A01E",2,"ACPE","0-1",11.6,"15.0","2019-06-19"
"A01E",2,"ACSA","0-1",13,"13.7","2019-06-19"
"A01E",2,"ACRU","0-1",7.1,"7.5","2019-06-19"
"A01E",2,"ACRU","0-1",5.3,"6.4","2019-06-19"
"A01E",4,"ACPE","0-1",24.9,"28.6","2019-06-19"
"A01E",4,"ACPE","0-1",12.8,"14.7","2019-06-19"
"A01E",4,"ACRU","0-1",5,"6.6","2019-06-19"
"A01E",4,"ACSA","0-1",9.9,"10.9","2019-06-19"
"A01E",4,"ACPE","0-1",16.9,"19.8","2019-06-19"
"A01E",4,"ACPE","0-1",49.4,"50.6","2019-06-19"
"A01E",4,"ACRU","0-1",4.3,"7.4","2019-06-19"
"A01E",4,"ACSA","0-1",7.2,"9.4","2019-06-19"
"A01E",4,"ACPE","0-1",15.5,"17.9","2019-06-19"
"A01E",4,"ACPE","0-1",34.5,"37.7","2019-06-19"
"A01E",4,"ACPE","0-1",10,"12.4","2019-06-19"
"A01E",4,"ACPE","0-1",22,"24.4","2019-06-19"
"A01E",4,"ACPE","0-1",8.5,"8.9","2019-06-19"
"A01E",4,"ACRU","0-1",2.3,"4.2","2019-06-19"
"A01E",4,"ACRU","0-1",5.9,"6.6","2019-06-19"
"A01E",4,"ACSA","0-1",11.2,"12.8","2019-06-19"
"A01E",4,"ACSA","0-1",8.1,"new","2019-06-19"
"A01E",4,"ACSA","0-1",14.5,"15.8","2019-06-19"
"A01E",4,"ACSA","0-1",9.9,"12.4","2019-06-19"
"A01E",4,"ACPE","0-1",38.4,"40.6","2019-06-19"
"A01E",6,"ACPE","0-1",51,"52.6","2019-06-19"
"A01E",6,"ACRU","0-1",3.6,"new","2019-06-19"
"A01E",6,"ACRU","0-1",11.1,"12.2","2019-06-19"
"A01E",6,"ACRU","0-1",4,"new","2019-06-19"
"A01E",6,"ACPE","0-1",23.8,"25.4","2019-06-19"
"A01E",6,"ACRU","0-1",4.5,"new","2019-06-19"
"A01E",6,"ACRU","0-1",7.9,"8.9","2019-06-19"
"A01E",6,"ACPE","0-1",54.8,"58.4","2019-06-19"
"A01E",6,"ACRU","0-1",9.4,"9.8","2019-06-19"
"A01E",6,"ACRU","0-1",4.5,"4.6","2019-06-19"
"A01E",6,"ACPE","0-1",40.5,"43.0","2019-06-19"
"A01E",6,"ACPE","0-1",24.3,"29.0","2019-06-19"
"A01E",6,"ACSA","0-1",10.1,"10.3","2019-06-19"
"A01E",6,"ACPE","0-1",64.5,"67.3","2019-06-19"
"A01E",6,"ACPE","0-1",105,"107.9","2019-06-19"
"A01E",6,"ACPE","0-1",76.3,"78.1","2019-06-19"
"A01E",6,"ACPE","0-1",60.4,"63.5","2019-06-19"
"A01E",6,"ACPE","0-1",26,"27.8","2019-06-19"
"A01E",6,"ACPE","0-1",49,"50.8","2019-06-19"
"A01E",6,"ACRU","0-1",6,"new","2019-06-19"
"A01E",6,"AMEL","0-1",15.8,"16.1","2019-06-19"
"A01E",6,"AMEL","0-1",9.8,"10.7","2019-06-19"
"A01E",6,"ACRU","0-1",8.9,"new","2019-06-19"
"A01E",6,"AMEL","0-1",3.2,"6.5","2019-06-19"
"A01E",6,"ACPE","0-1",5.4,"11.6","2019-06-19"
"A01E",6,"ACPE","0-1",18.2,"20.1","2019-06-19"
"A01E",6,"ACPE","1-2",136.8,"137.6","2019-06-19"
"A01E",8,"ACPE","0-1",7,"18.5","2019-06-19"
"A01E",8,"ACPE","0-1",19.3,"20.4","2019-06-19"
"A01E",8,"ACPE","0-1",21,"22.5","2019-06-19"
"A01E",8,"ACSA","0-1",9,"9.3","2019-06-19"
"A01E",8,"ACPE","0-1",14,"16.4","2019-06-19"
"A01E",8,"ACPE","0-1",35.5,"37.6","2019-06-19"
"A01E",8,"AMEL","0-1",29,"29.4","2019-06-19"
"A01E",8,"ACPE","0-1",87.4,"89.8","2019-06-19"
"A01E",8,"ACPE","0-1",69.5,"72.9","2019-06-19"
"A01E",8,"ACPE","0-1",57.5,"60.4","2019-06-19"
"A01E",8,"ACSA","0-1",14.4,"14.6","2019-06-19"
"A01E",8,"ACPE","0-1",33.2,"35.5","2019-06-19"
"A01W",2,"FAGR","0-1",151.5,"152.5","2019-06-19"
"A01W",2,"AMEL","0-1",26.3,"27.9","2019-06-19"
"A01W",2,"ACPE","0-1",28.1,"30.0","2019-06-19"
"A01W",2,"ACPE","0-1",32.4,"34.5","2019-06-19"
"A01W",2,"ACPE","0-1",79.4,"82.1","2019-06-19"
"A01W",2,"FAGR","0-1",93.5,"94.6","2019-06-19"
"A01W",2,"ACPE","0-1",36.9,"38.2","2019-06-19"
"A01W",2,"FAGR","0-1",17.2,"18.3","2019-06-19"
"A01W",2,"FAGR","0-1",184,"189.0","2019-06-19"
"A01W",2,"ACPE","1-2",235.5,"239.5","2019-06-19"
"A01W",2,"FAGR","1-2",223.5,"258.5","2019-06-19"
"A01W",2,"ACPE","1-2",168.4,"182.0","2019-06-19"
"A01W",4,"ACPE","0-1",12.7,"14.4","2019-06-19"
"A01W",4,"ACPE","0-1",6.8,"9.2","2019-06-19"
"A01W",4,"ACRU","0-1",6,"6.9","2019-06-19"
"A01W",4,"ACRU","0-1",0,"4.0","2019-06-19"
"A01W",4,"ACSA","0-1",4.8,"5.0","2019-06-19"
"A01W",4,"ACRU","0-1",9.5,"10.0","2019-06-19"
"A01W",4,"ACRU","0-1",7.3,"7.5","2019-06-19"
"A01W",4,"ACSA","0-1",7.5,"8.0","2019-06-19"
"A01W",4,"ACRU","0-1",8,"8.9","2019-06-19"
"A01W",4,"ACRU","0-1",5.6,"6.1","2019-06-19"
"A01W",4,"ACRU","0-1",7,"7.3","2019-06-19"
"A01W",4,"ACRU","0-1",0,"4.0","2019-06-19"
"A01W",4,"ACPE","0-1",18.1,"21.0","2019-06-19"
"A01W",4,"ACRU","0-1",6.1,"6.2","2019-06-19"
"A01W",4,"ACRU","0-1",7.4,"7.5","2019-06-19"
"A01W",4,"ACRU","0-1",7.9,"7.2","2019-06-19"
"A01W",4,"ACPE","0-1",55.9,"59.2","2019-06-19"
"A01W",4,"ACPE","0-1",50.5,"52.5","2019-06-19"
"A01W",4,"ACPE","0-1",59,"61.3","2019-06-19"
"A01W",4,"ACRU","0-1",11.4,"12.0","2019-06-19"
"A01W",4,"ACRU","0-1",8,"8.4","2019-06-19"
"A01W",4,"ACRU","0-1",9.2,"12.0","2019-06-19"
"A01W",4,"ACRU","0-1",9.5,"10.3","2019-06-19"
"A01W",4,"ACRU","0-1",8.9,"9.6","2019-06-19"
"A01W",4,"ACRU","0-1",8,"8.6","2019-06-19"
"A01W",4,"ACRU","0-1",8.2,"10.0","2019-06-19"
"A01W",4,"ACRU","0-1",7.3,"8.4","2019-06-19"
"A01W",4,"ACRU","0-1",6,"7.1","2019-06-19"
"A01W",4,"ACRU","0-1",7,"7.5","2019-06-19"
"A01W",4,"ACSA","0-1",6,"8.2","2019-06-19"
"A01W",4,"ACRU","0-1",0,"5.4","2019-06-19"
"A01W",4,"ACRU","0-1",0,"2.9","2019-06-19"
"A01W",4,"ACRU","0-1",5.1,"5.6","2019-06-19"
"A01W",4,"FAGR","1-2",173.2,"183.4","2019-06-19"
"A01W",4,"FAGR","2-3",263.5,"274.5","2019-06-19"
"A01W",4,"POGR","0-1",28,"64.0","2019-06-19"
"A01W",6,"ACRU","0-1",0.5,"1.9","2019-06-19"
"A01W",6,"ACRU","0-1",10,"11.8","2019-06-19"
"A01W",6,"ACRU","0-1",4.5,"6.5","2019-06-19"
"A01W",6,"ACRU","0-1",9,"9.8","2019-06-19"
"A01W",6,"ACRU","0-1",0,"4.0","2019-06-19"
