subplot_id,nested_subplot,tag,species,dbh_mm,date,notes
A01E,2,2784,ACPE,17.85,2021-06-22,NA
A01E,2,4021,ACPE,20.2,2021-06-22,NA
A01E,4,4023,FAGR,65.05,2021-06-22,NA
A01E,4,4024,FAGR,60.65,2021-06-22,NA
A01E,6,2835,ACPE,23.55,2021-06-22,NA
A01E,6,2839,ACPE,16.75,2021-06-22,NA
A01E,6,2836,ACPE,19.9,2021-06-22,NA
A01E,6,2838,ACPE,41.35,2021-06-22,NA
A01E,6,2837,ACPE,32.15,2021-06-22,NA
A01E,8,4028,ACPE,69.75,2021-06-22,NA
A01E,8,4029,ACPE,19.35,2021-06-22,NA
A01W,2,2881,FAGR,19.45,2021-06-22,NA
A01W,2,2880,FAGR,26.45,2021-06-22,NA
A01W,4,4031,ACSA,75,2021-06-22,NA
A01W,4,2907,FAGR,21.2,2021-06-22,NA
A01W,6,2934,FAGR,45.25,2021-06-22,NA
A01W,6,4034,ACPE,52.1,2021-06-22,NA
A01W,8,4038,ACPE,23.75,2021-06-22,NA
A01W,8,4039,ACPE,30.45,2021-06-22,NA
A02E,2,3092,ACPE,42.15,2021-06-22,NA
A02E,2,3089,FAGR,12.05,2021-06-22,NA
A02E,2,3090,FAGR,18.6,2021-06-22,NA
A02E,2,3091,FAGR,24.25,2021-06-22,NA
A02E,2,3245,FAGR,20.25,2021-06-22,NA
A02E,4,3247,FAGR,17.95,2021-06-22,NA
A02E,4,3246,ACSA,39.6,2021-06-22,NA
A02E,6,3165,ACPE,15.05,2021-06-22,NA
A02E,6,3251,FAGR,22.95,2021-06-22,NA
A02E,8,3255,ACSA,63.75,2021-06-22,NA
A02E,8,3256,ACPE,14.55,2021-06-22,NA
A02W,2,3000,ACPE,15.85,2021-06-22,NA
A02W,2,3001,ACPE,25.05,2021-06-22,NA
A02W,4,4045,ACPE,44.75,2021-06-22,NA
A02W,4,4044,FAGR,11.85,2021-06-22,NA
A02W,6,4048,FAGR,39.95,2021-06-22,NA
A02W,6,4049,ACSA,46,2021-06-22,NA
A02W,8,4053,ACSA,63.15,2021-06-22,NA
A02W,8,4054,ACPE,32.75,2021-06-22,NA
A03E,2,3998,ACSA,45.15,2021-06-22,NA
A03E,2,3995,ACSA,58.35,2021-06-22,NA
A03E,4,4000,FAGR,17.25,2021-06-22,NA
A03E,4,4001,FAGR,16.75,2021-06-22,NA
A03E,6,4002,ACPE,20.75,2021-06-22,NA
A03E,6,4005,FAGR,28.25,2021-06-22,NA
A03E,8,2552,FAGR,24.35,2021-06-22,NA
A03E,8,2554,FAGR,29.1,2021-06-22,NA
A03E,8,2553,FAGR,12.5,2021-06-22,NA
A03W,2,2362,FAGR,36,2021-06-22,NA
A03W,2,4008,FAGR,69.55,2021-06-22,NA
A03W,4,2387,ACPE,71.95,2021-06-22,NA
A03W,4,2388,ACPE,19.05,2021-06-22,NA
A03W,6,2420,ACPE,54.45,2021-06-22,NA
A03W,6,4014,AMEL,32.45,2021-06-22,NA
A03W,8,4018,ACSA,48.55,2021-06-22,NA
A03W,8,4017,FAGR,72.4,2021-06-22,NA
A04E,2,2684,ACPE,16.55,2021-06-22,NA
A04E,2,4068,ACPE,12.45,2021-06-22,NA
A04E,4,4069,FAGR,54.25,2021-06-22,NA
A04E,4,4070,FAGR,52.3,2021-06-22,NA
A04E,6,2733,ACPE,17.25,2021-06-22,NA
A04E,6,4072,ACPE,24.65,2021-06-22,NA
A04E,8,4073,ACPE,14.1,2021-06-22,NA
A04E,8,4075,ACPE,39.8,2021-06-22,NA
A04W,2,4055,FAGR,67.95,2021-06-22,NA
A04W,2,4057,FAGR,38.5,2021-06-22,NA
A04W,4,4058,FAGR,80,2021-06-22,NA
A04W,4,4061,FAGR,12,2021-06-22,NA
A04W,6,4062,FAGR,39.65,2021-06-22,NA
A04W,6,2647,FAGR,75.9,2021-06-22,NA
A04W,8,4064,FAGR,14.8,2021-06-22,NA
A04W,8,4065,FAGR,49.25,2021-06-22,NA
B01E,2,4131,QURU,41.91,2021-06-22,NA
B01E,2,4100,FAGR,45.2,2021-06-22,NA
B01E,4,4128,FAGR,19.5,2021-06-22,NA
B01E,4,4139,FAGR,32.25,2021-06-22,NA
B01E,6,4129,ACPE,20.65,2021-06-22,NA
B01E,6,4130,ACPE,22.3,2021-06-22,NA
B01E,8,1742,ACPE,31.7,2021-06-22,NA
B01E,8,1741,FAGR,26.95,2021-06-22,no tag?
B01W,2,1593,QURU,49.8,2021-06-22,NA
B01W,2,4132,ACPE,11.15,2021-06-22,NA
B01W,4,1592,ACSA,27.1,2021-06-22,NA
B01W,4,1594,ACSA,22.05,2021-06-22,NA
B01W,4,1595,FAGR,28.45,2021-06-22,NA
B01W,4,1591,QURU,79.05,2021-06-22,NA
B01W,6,1631,FAGR,37.5,2021-06-22,NA
B01W,6,1629,FAGR,15.95,2021-06-22,NA
B01W,6,1628,FAGR,21.95,2021-06-22,NA
B01W,6,1627,FAGR,13.95,2021-06-22,NA
B01W,8,1647,FAGR,14.05,2021-06-22,NA
B01W,8,1649,FAGR,11.65,2021-06-22,NA
B01W,8,4197,QURU,30.95,2021-06-22,NA
B02E,2,4085,FAGR,17.2,2021-06-22,NA
B02E,2,4086,FAGR,20.15,2021-06-22,NA
B02E,4,1884,ACPE,32.65,2021-06-22,NA
B02E,4,4088,FAGR,15.25,2021-06-22,NA
B02E,6,4133,QURU,45.1,2021-06-22,NA
B02E,6,4134,AMEL,60.65,2021-06-22,NA
B02E,8,4093,FAGR,18.35,2021-06-22,NA
B02E,8,4135,ACSA,42,2021-06-22,NA
B02W,2,4136,FAGR,21.35,2021-06-22,NA
B02W,2,4137,FAGR,23.2,2021-06-22,NA
B02W,4,1781,QURU,6/22/21,MIA,NA
