replicate,plot,subplot,latitude,longitude,disturbance_severity,treatment,plot_type,nsp_id,area
A,1,E,45.563404,-84.728465,85,B,subplot,,1000
A,1,W,45.563404,-84.728465,85,T,subplot,,1000
A,2,E,45.56418,-84.727971,45,T,subplot,,1000
A,2,W,45.56418,-84.727971,45,B,subplot,,1000
A,3,E,45.562995,-84.727099,65,B,subplot,,1000
A,3,W,45.562995,-84.727099,65,T,subplot,,1000
A,4,E,45.563701,-84.726382,0,B,subplot,,1000
A,4,W,45.563701,-84.726382,0,T,subplot,,1000
B,1,E,45.556685,-84.72685,0,B,subplot,,1000
B,1,W,45.556685,-84.72685,0,T,subplot,,1000
B,2,E,45.555822,-84.726783,45,T,subplot,,1000
B,2,W,45.555822,-84.726783,45,B,subplot,,1000
B,3,E,45.556236,-84.725704,85,B,subplot,,1000
B,3,W,45.556236,-84.725704,85,T,subplot,,1000
B,4,E,45.556248,-84.724383,65,T,subplot,,1000
B,4,W,45.556248,-84.724383,65,B,subplot,,1000
C,1,E,45.562496,-84.707799,0,T,subplot,,1000
C,1,W,45.562496,-84.707799,0,B,subplot,,1000
C,2,E,45.563128,-84.706747,65,B,subplot,,1000
C,2,W,45.563128,-84.706747,65,T,subplot,,1000
C,3,E,45.563069,-84.705397,85,B,subplot,,1000
C,3,W,45.563069,-84.705397,85,T,subplot,,1000
C,4,E,45.563751,-84.703382,45,T,subplot,,1000
C,4,W,45.563751,-84.703382,45,B,subplot,,1000
D,1,E,45.560897,-84.70701,0,B,subplot,,1000
D,1,W,45.560897,-84.70701,0,T,subplot,,1000
D,2,E,45.56203,-84.705022,85,B,subplot,,1000
D,2,W,45.56203,-84.705022,85,T,subplot,,1000
D,3,E,45.560387,-84.704516,45,B,subplot,,1000
D,3,W,45.560387,-84.704516,45,T,subplot,,1000
D,4,E,45.561776,-84.70364,65,T,subplot,,1000
D,4,W,45.561776,-84.70364,65,B,subplot,,1000
A,1,,45.563404,-84.728465,85,,plot,,5000
A,2,,45.56418,-84.727971,45,,plot,,5000
A,3,,45.562995,-84.727099,65,,plot,,5000
A,4,,45.563701,-84.726382,0,,plot,,5000
B,1,,45.556685,-84.72685,45,,plot,,5000
B,2,,45.555822,-84.726783,85,,plot,,5000
B,3,,45.556236,-84.725704,65,,plot,,5000
B,4,,45.556248,-84.724383,0,,plot,,5000
C,1,,45.562496,-84.707799,0,,plot,,5000
C,2,,45.563128,-84.706747,65,,plot,,5000
C,3,,45.563069,-84.705397,85,,plot,,5000
C,4,,45.563751,-84.703382,45,,plot,,5000
D,1,,45.560897,-84.70701,0,,plot,,5000
D,2,,45.56203,-84.705022,85,,plot,,5000
D,3,,45.560387,-84.704516,45,,plot,,5000
D,4,,45.561776,-84.70364,65,,plot,,5000
A,1,E,,,85,B,nested_subplot,1,1
A,1,W,,,85,T,nested_subplot,1,1
A,2,E,,,45,T,nested_subplot,1,1
A,2,W,,,45,B,nested_subplot,1,1
A,3,E,,,65,B,nested_subplot,1,1
A,3,W,,,65,T,nested_subplot,1,1
A,4,E,,,0,B,nested_subplot,1,1
A,4,W,,,0,T,nested_subplot,1,1
B,1,E,,,0,B,nested_subplot,1,1
B,1,W,,,0,T,nested_subplot,1,1
B,2,E,,,45,T,nested_subplot,1,1
B,2,W,,,45,B,nested_subplot,1,1
B,3,E,,,85,B,nested_subplot,1,1
B,3,W,,,85,T,nested_subplot,1,1
B,4,E,,,65,T,nested_subplot,1,1
B,4,W,,,65,B,nested_subplot,1,1
C,1,E,,,0,T,nested_subplot,1,1
C,1,W,,,0,B,nested_subplot,1,1
C,2,E,,,65,B,nested_subplot,1,1
C,2,W,,,65,T,nested_subplot,1,1
C,3,E,,,85,B,nested_subplot,1,1
C,3,W,,,85,T,nested_subplot,1,1
C,4,E,,,45,T,nested_subplot,1,1
C,4,W,,,45,B,nested_subplot,1,1
D,1,E,,,0,B,nested_subplot,1,1
