replicate,plot,subplot,latitude,longitude,disturbance_severity,treatment,plot_type,nsp_id,area
D,1,W,,,0,T,nested_subplot,1,1
D,2,E,,,85,B,nested_subplot,1,1
D,2,W,,,85,T,nested_subplot,1,1
D,3,E,,,45,B,nested_subplot,1,1
D,3,W,,,45,T,nested_subplot,1,1
D,4,E,,,65,T,nested_subplot,1,1
D,4,W,,,65,B,nested_subplot,1,1
A,1,E,,,85,B,nested_subplot,2,1
A,1,W,,,85,T,nested_subplot,2,1
A,2,E,,,45,T,nested_subplot,2,1
A,2,W,,,45,B,nested_subplot,2,1
A,3,E,,,65,B,nested_subplot,2,1
A,3,W,,,65,T,nested_subplot,2,1
A,4,E,,,0,B,nested_subplot,2,1
A,4,W,,,0,T,nested_subplot,2,1
B,1,E,,,0,B,nested_subplot,2,1
B,1,W,,,0,T,nested_subplot,2,1
B,2,E,,,45,T,nested_subplot,2,1
B,2,W,,,45,B,nested_subplot,2,1
B,3,E,,,85,B,nested_subplot,2,1
B,3,W,,,85,T,nested_subplot,2,1
B,4,E,,,65,T,nested_subplot,2,1
B,4,W,,,65,B,nested_subplot,2,1
C,1,E,,,0,T,nested_subplot,2,1
C,1,W,,,0,B,nested_subplot,2,1
C,2,E,,,65,B,nested_subplot,2,1
C,2,W,,,65,T,nested_subplot,2,1
C,3,E,,,85,B,nested_subplot,2,1
C,3,W,,,85,T,nested_subplot,2,1
C,4,E,,,45,T,nested_subplot,2,1
C,4,W,,,45,B,nested_subplot,2,1
D,1,E,,,0,B,nested_subplot,2,1
D,1,W,,,0,T,nested_subplot,2,1
D,2,E,,,85,B,nested_subplot,2,1
D,2,W,,,85,T,nested_subplot,2,1
D,3,E,,,45,B,nested_subplot,2,1
D,3,W,,,45,T,nested_subplot,2,1
D,4,E,,,65,T,nested_subplot,2,1
D,4,W,,,65,B,nested_subplot,2,1
A,1,E,,,85,B,nested_subplot,3,4
A,1,W,,,85,T,nested_subplot,3,4
A,2,E,,,45,T,nested_subplot,3,4
A,2,W,,,45,B,nested_subplot,3,4
A,3,E,,,65,B,nested_subplot,3,4
A,3,W,,,65,T,nested_subplot,3,4
A,4,E,,,0,B,nested_subplot,3,4
A,4,W,,,0,T,nested_subplot,3,4
B,1,E,,,0,B,nested_subplot,3,4
B,1,W,,,0,T,nested_subplot,3,4
B,2,E,,,45,T,nested_subplot,3,4
B,2,W,,,45,B,nested_subplot,3,4
B,3,E,,,85,B,nested_subplot,3,4
B,3,W,,,85,T,nested_subplot,3,4
B,4,E,,,65,T,nested_subplot,3,4
B,4,W,,,65,B,nested_subplot,3,4
C,1,E,,,0,T,nested_subplot,3,4
C,1,W,,,0,B,nested_subplot,3,4
C,2,E,,,65,B,nested_subplot,3,4
C,2,W,,,65,T,nested_subplot,3,4
C,3,E,,,85,B,nested_subplot,3,4
C,3,W,,,85,T,nested_subplot,3,4
C,4,E,,,45,T,nested_subplot,3,4
C,4,W,,,45,B,nested_subplot,3,4
D,1,E,,,0,B,nested_subplot,3,4
D,1,W,,,0,T,nested_subplot,3,4
D,2,E,,,85,B,nested_subplot,3,4
D,2,W,,,85,T,nested_subplot,3,4
D,3,E,,,45,B,nested_subplot,3,4
D,3,W,,,45,T,nested_subplot,3,4
D,4,E,,,65,T,nested_subplot,3,4
D,4,W,,,65,B,nested_subplot,3,4
A,1,E,,,85,B,nested_subplot,4,1
A,1,W,,,85,T,nested_subplot,4,1
A,2,E,,,45,T,nested_subplot,4,1
A,2,W,,,45,B,nested_subplot,4,1
A,3,E,,,65,B,nested_subplot,4,1
A,3,W,,,65,T,nested_subplot,4,1
A,4,E,,,0,B,nested_subplot,4,1
A,4,W,,,0,T,nested_subplot,4,1
B,1,E,,,0,B,nested_subplot,4,1
B,1,W,,,0,T,nested_subplot,4,1
B,2,E,,,45,T,nested_subplot,4,1
B,2,W,,,45,B,nested_subplot,4,1
B,3,E,,,85,B,nested_subplot,4,1
B,3,W,,,85,T,nested_subplot,4,1
B,4,E,,,65,T,nested_subplot,4,1
B,4,W,,,65,B,nested_subplot,4,1
C,1,E,,,0,T,nested_subplot,4,1
C,1,W,,,0,B,nested_subplot,4,1
C,2,E,,,65,B,nested_subplot,4,1
C,2,W,,,65,T,nested_subplot,4,1
C,3,E,,,85,B,nested_subplot,4,1
C,3,W,,,85,T,nested_subplot,4,1
C,4,E,,,45,T,nested_subplot,4,1
C,4,W,,,45,B,nested_subplot,4,1
D,1,E,,,0,B,nested_subplot,4,1
D,1,W,,,0,T,nested_subplot,4,1
D,2,E,,,85,B,nested_subplot,4,1
D,2,W,,,85,T,nested_subplot,4,1
D,3,E,,,45,B,nested_subplot,4,1
D,3,W,,,45,T,nested_subplot,4,1
D,4,E,,,65,T,nested_subplot,4,1
D,4,W,,,65,B,nested_subplot,4,1
A,1,E,,,85,B,nested_subplot,5,4
A,1,W,,,85,T,nested_subplot,5,4
A,2,E,,,45,T,nested_subplot,5,4
A,2,W,,,45,B,nested_subplot,5,4
A,3,E,,,65,B,nested_subplot,5,4
A,3,W,,,65,T,nested_subplot,5,4
A,4,E,,,0,B,nested_subplot,5,4
A,4,W,,,0,T,nested_subplot,5,4
B,1,E,,,0,B,nested_subplot,5,4
B,1,W,,,0,T,nested_subplot,5,4
B,2,E,,,45,T,nested_subplot,5,4
B,2,W,,,45,B,nested_subplot,5,4
B,3,E,,,85,B,nested_subplot,5,4
B,3,W,,,85,T,nested_subplot,5,4
B,4,E,,,65,T,nested_subplot,5,4
B,4,W,,,65,B,nested_subplot,5,4
C,1,E,,,0,T,nested_subplot,5,4
C,1,W,,,0,B,nested_subplot,5,4
C,2,E,,,65,B,nested_subplot,5,4
C,2,W,,,65,T,nested_subplot,5,4
C,3,E,,,85,B,nested_subplot,5,4
C,3,W,,,85,T,nested_subplot,5,4
C,4,E,,,45,T,nested_subplot,5,4
C,4,W,,,45,B,nested_subplot,5,4
D,1,E,,,0,B,nested_subplot,5,4
D,1,W,,,0,T,nested_subplot,5,4
D,2,E,,,85,B,nested_subplot,5,4
D,2,W,,,85,T,nested_subplot,5,4
D,3,E,,,45,B,nested_subplot,5,4
D,3,W,,,45,T,nested_subplot,5,4
D,4,E,,,65,T,nested_subplot,5,4
D,4,W,,,65,B,nested_subplot,5,4
A,1,E,,,85,B,nested_subplot,6,1
A,1,W,,,85,T,nested_subplot,6,1
A,2,E,,,45,T,nested_subplot,6,1
A,2,W,,,45,B,nested_subplot,6,1
A,3,E,,,65,B,nested_subplot,6,1
A,3,W,,,65,T,nested_subplot,6,1
A,4,E,,,0,B,nested_subplot,6,1
A,4,W,,,0,T,nested_subplot,6,1
B,1,E,,,0,B,nested_subplot,6,1
B,1,W,,,0,T,nested_subplot,6,1
B,2,E,,,45,T,nested_subplot,6,1
B,2,W,,,45,B,nested_subplot,6,1
B,3,E,,,85,B,nested_subplot,6,1
B,3,W,,,85,T,nested_subplot,6,1
B,4,E,,,65,T,nested_subplot,6,1
B,4,W,,,65,B,nested_subplot,6,1
C,1,E,,,0,T,nested_subplot,6,1
C,1,W,,,0,B,nested_subplot,6,1
C,2,E,,,65,B,nested_subplot,6,1
C,2,W,,,65,T,nested_subplot,6,1
C,3,E,,,85,B,nested_subplot,6,1
C,3,W,,,85,T,nested_subplot,6,1
C,4,E,,,45,T,nested_subplot,6,1
C,4,W,,,45,B,nested_subplot,6,1
D,1,E,,,0,B,nested_subplot,6,1
D,1,W,,,0,T,nested_subplot,6,1
D,2,E,,,85,B,nested_subplot,6,1
D,2,W,,,85,T,nested_subplot,6,1
D,3,E,,,45,B,nested_subplot,6,1
D,3,W,,,45,T,nested_subplot,6,1
D,4,E,,,65,T,nested_subplot,6,1
D,4,W,,,65,B,nested_subplot,6,1
A,1,E,,,85,B,nested_subplot,7,4
A,1,W,,,85,T,nested_subplot,7,4
A,2,E,,,45,T,nested_subplot,7,4
A,2,W,,,45,B,nested_subplot,7,4
A,3,E,,,65,B,nested_subplot,7,4
A,3,W,,,65,T,nested_subplot,7,4
A,4,E,,,0,B,nested_subplot,7,4
A,4,W,,,0,T,nested_subplot,7,4
B,1,E,,,0,B,nested_subplot,7,4
B,1,W,,,0,T,nested_subplot,7,4
B,2,E,,,45,T,nested_subplot,7,4
B,2,W,,,45,B,nested_subplot,7,4
B,3,E,,,85,B,nested_subplot,7,4
B,3,W,,,85,T,nested_subplot,7,4
B,4,E,,,65,T,nested_subplot,7,4
B,4,W,,,65,B,nested_subplot,7,4
C,1,E,,,0,T,nested_subplot,7,4
C,1,W,,,0,B,nested_subplot,7,4
C,2,E,,,65,B,nested_subplot,7,4
C,2,W,,,65,T,nested_subplot,7,4
C,3,E,,,85,B,nested_subplot,7,4
C,3,W,,,85,T,nested_subplot,7,4
C,4,E,,,45,T,nested_subplot,7,4
C,4,W,,,45,B,nested_subplot,7,4
D,1,E,,,0,B,nested_subplot,7,4
D,1,W,,,0,T,nested_subplot,7,4
D,2,E,,,85,B,nested_subplot,7,4
D,2,W,,,85,T,nested_subplot,7,4
D,3,E,,,45,B,nested_subplot,7,4
D,3,W,,,45,T,nested_subplot,7,4
D,4,E,,,65,T,nested_subplot,7,4
D,4,W,,,65,B,nested_subplot,7,4
A,1,E,,,85,B,nested_subplot,8,1
A,1,W,,,85,T,nested_subplot,8,1
A,2,E,,,45,T,nested_subplot,8,1
A,2,W,,,45,B,nested_subplot,8,1
A,3,E,,,65,B,nested_subplot,8,1
A,3,W,,,65,T,nested_subplot,8,1
A,4,E,,,0,B,nested_subplot,8,1
A,4,W,,,0,T,nested_subplot,8,1
B,1,E,,,0,B,nested_subplot,8,1
B,1,W,,,0,T,nested_subplot,8,1
B,2,E,,,45,T,nested_subplot,8,1
B,2,W,,,45,B,nested_subplot,8,1
B,3,E,,,85,B,nested_subplot,8,1
B,3,W,,,85,T,nested_subplot,8,1
B,4,E,,,65,T,nested_subplot,8,1
B,4,W,,,65,B,nested_subplot,8,1
C,1,E,,,0,T,nested_subplot,8,1
C,1,W,,,0,B,nested_subplot,8,1
C,2,E,,,65,B,nested_subplot,8,1
C,2,W,,,65,T,nested_subplot,8,1
C,3,E,,,85,B,nested_subplot,8,1
C,3,W,,,85,T,nested_subplot,8,1
C,4,E,,,45,T,nested_subplot,8,1
C,4,W,,,45,B,nested_subplot,8,1
D,1,E,,,0,B,nested_subplot,8,1
D,1,W,,,0,T,nested_subplot,8,1
D,2,E,,,85,B,nested_subplot,8,1
D,2,W,,,85,T,nested_subplot,8,1
D,3,E,,,45,B,nested_subplot,8,1
D,3,W,,,45,T,nested_subplot,8,1
D,4,E,,,65,T,nested_subplot,8,1
D,4,W,,,65,B,nested_subplot,8,1
A,1,E,,,85,B,nested_subplot,9,4
A,1,W,,,85,T,nested_subplot,9,4
A,2,E,,,45,T,nested_subplot,9,4
A,2,W,,,45,B,nested_subplot,9,4
A,3,E,,,65,B,nested_subplot,9,4
A,3,W,,,65,T,nested_subplot,9,4
A,4,E,,,0,B,nested_subplot,9,4
A,4,W,,,0,T,nested_subplot,9,4
B,1,E,,,0,B,nested_subplot,9,4
B,1,W,,,0,T,nested_subplot,9,4
B,2,E,,,45,T,nested_subplot,9,4
B,2,W,,,45,B,nested_subplot,9,4
B,3,E,,,85,B,nested_subplot,9,4
B,3,W,,,85,T,nested_subplot,9,4
B,4,E,,,65,T,nested_subplot,9,4
B,4,W,,,65,B,nested_subplot,9,4
C,1,E,,,0,T,nested_subplot,9,4
C,1,W,,,0,B,nested_subplot,9,4
C,2,E,,,65,B,nested_subplot,9,4
C,2,W,,,65,T,nested_subplot,9,4
C,3,E,,,85,B,nested_subplot,9,4
C,3,W,,,85,T,nested_subplot,9,4
C,4,E,,,45,T,nested_subplot,9,4
C,4,W,,,45,B,nested_subplot,9,4
D,1,E,,,0,B,nested_subplot,9,4
D,1,W,,,0,T,nested_subplot,9,4
D,2,E,,,85,B,nested_subplot,9,4
D,2,W,,,85,T,nested_subplot,9,4
D,3,E,,,45,B,nested_subplot,9,4
D,3,W,,,45,T,nested_subplot,9,4
D,4,E,,,65,T,nested_subplot,9,4
D,4,W,,,65,B,nested_subplot,9,4
