,layer_1,calculation,value,v1
1704,Layer 1, MRESRI,5.174892,DO2E_ACRU_CAN04_07182018_636675309295213888_Calculations.csv
1705,Layer 1, RENDVI,0.5258179,DO2E_ACRU_CAN04_07182018_636675309295213888_Calculations.csv
1706,Layer 1, VREI1,1.499409,DO2E_ACRU_CAN04_07182018_636675309295213888_Calculations.csv
1707,Layer 1, VREI2,-0.09080195,DO2E_ACRU_CAN04_07182018_636675309295213888_Calculations.csv
1708,Layer 1, VREI3,-0.1002301,DO2E_ACRU_CAN04_07182018_636675309295213888_Calculations.csv
1709,Layer 1, PRI,0.0562049,DO2E_ACRU_CAN04_07182018_636675309295213888_Calculations.csv
1710,Layer 1, PSRI,-0.008812411,DO2E_ACRU_CAN04_07182018_636675309295213888_Calculations.csv
1711,Layer 1, WBI,0.9854506,DO2E_ACRU_CAN04_07182018_636675309295213888_Calculations.csv
1712,Layer 1, ARI1,-2.56E-05,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1713,Layer 1, ARI2,-0.001952217,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1714,Layer 1, CRI1,0.06783319,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1715,Layer 1, CRI2,0.06780757,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1716,Layer 1, SIPI,0.8425483,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1717,Layer 1, FRI,-0.2022013,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1718,Layer 1, CNDVI,0.5502046,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1719,Layer 1, Ctr1,1.224901,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1720,Layer 1, Ctr2,0.1201252,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1721,Layer 1, G,2.414131,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1722,Layer 1, GM1,5.171309,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1723,Layer 1, GM2,5.173183,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1724,Layer 1, Lic1,0.8563628,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1725,Layer 1, Lic2,1.040137,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1726,Layer 1, NDVI,0.8563628,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1727,Layer 1, NPCI,-0.0903335,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1728,Layer 1, NPQI,0.04059255,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1729,Layer 1, SRPI,1.198608,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1730,Layer 1, TCARI,25.08575,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1731,Layer 1, TVI,4378.142,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1732,Layer 1, ZMI,2.544497,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1733,Layer 1, MRESRI,4.957995,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1734,Layer 1, RENDVI,0.5502046,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1735,Layer 1, VREI1,1.53084,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1736,Layer 1, VREI2,-0.09907921,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1737,Layer 1, VREI3,-0.1099871,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1738,Layer 1, PRI,0.06109952,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1739,Layer 1, PSRI,-0.008743016,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1740,Layer 1, WBI,0.9906459,DO2E_ACRU_CAN05_07182018_636675309500316832_Calculations.csv
1741,Layer 1, ARI1,0.003365084,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1742,Layer 1, ARI2,0.2538524,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1743,Layer 1, CRI1,0.06706236,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1744,Layer 1, CRI2,0.07042745,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1745,Layer 1, SIPI,0.8290558,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1746,Layer 1, FRI,-1.119823,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1747,Layer 1, CNDVI,0.3706938,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1748,Layer 1, Ctr1,1.845127,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1749,Layer 1, Ctr2,0.2102779,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1750,Layer 1, G,3.738443,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1751,Layer 1, GM1,3.234787,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1752,Layer 1, GM2,2.986976,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1753,Layer 1, Lic1,0.8491358,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1754,Layer 1, Lic2,0.8121287,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1755,Layer 1, NDVI,0.8491358,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1756,Layer 1, NPCI,-0.1432967,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1757,Layer 1, NPQI,0.06594832,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1758,Layer 1, SRPI,1.334531,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1759,Layer 1, TCARI,51.10541,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1760,Layer 1, TVI,4720.15,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1761,Layer 1, ZMI,1.776173,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1762,Layer 1, MRESRI,6.428582,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1763,Layer 1, RENDVI,0.3706938,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1764,Layer 1, VREI1,1.292117,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1765,Layer 1, VREI2,-0.05000294,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1766,Layer 1, VREI3,-0.05312196,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1767,Layer 1, PRI,0.0206059,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1768,Layer 1, PSRI,-0.008280163,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1769,Layer 1, WBI,0.9606147,DO2E_ACRU_CAN06_07192018_636675978631290645_Calculations.csv
1770,Layer 1, ARI1,0.002649989,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1771,Layer 1, ARI2,0.2041001,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1772,Layer 1, CRI1,0.08062156,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1773,Layer 1, CRI2,0.08327156,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1774,Layer 1, SIPI,0.835204,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1775,Layer 1, FRI,-1.591519,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1776,Layer 1, CNDVI,0.4829793,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1777,Layer 1, Ctr1,1.297616,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1778,Layer 1, Ctr2,0.1438796,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1779,Layer 1, G,2.916763,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1780,Layer 1, GM1,4.40833,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1781,Layer 1, GM2,4.211599,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1782,Layer 1, Lic1,0.8599477,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1783,Layer 1, Lic2,1.050784,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1784,Layer 1, NDVI,0.8599477,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1785,Layer 1, NPCI,-0.174767,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1786,Layer 1, NPQI,0.06998219,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1787,Layer 1, SRPI,1.423558,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1788,Layer 1, TCARI,34.53769,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1789,Layer 1, TVI,4565.819,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1790,Layer 1, ZMI,2.216452,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1791,Layer 1, MRESRI,5.729633,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1792,Layer 1, RENDVI,0.4829793,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1793,Layer 1, VREI1,1.440812,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1794,Layer 1, VREI2,-0.08029929,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1795,Layer 1, VREI3,-0.08763696,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1796,Layer 1, PRI,0.03975177,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1797,Layer 1, PSRI,-0.003503276,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1798,Layer 1, WBI,0.9633703,DO2E_ACRU_CAN07_07192018_636675978871328172_Calculations.csv
1799,Layer 1, ARI1,0.001821038,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1800,Layer 1, ARI2,0.1496788,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1801,Layer 1, CRI1,0.06550325,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1802,Layer 1, CRI2,0.06732429,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1803,Layer 1, SIPI,0.8229799,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1804,Layer 1, FRI,-1.356685,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1805,Layer 1, CNDVI,0.4706392,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1806,Layer 1, Ctr1,1.27471,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1807,Layer 1, Ctr2,0.1541471,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1808,Layer 1, G,2.858414,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1809,Layer 1, GM1,4.145468,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1810,Layer 1, GM2,4.000782,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1811,Layer 1, Lic1,0.8491425,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1812,Layer 1, Lic2,1.040795,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1813,Layer 1, NDVI,0.8491425,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1814,Layer 1, NPCI,-0.1646584,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1815,Layer 1, NPQI,0.06593473,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1816,Layer 1, SRPI,1.39423,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1817,Layer 1, TCARI,38.70703,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1818,Layer 1, TVI,4880.225,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1819,Layer 1, ZMI,2.166132,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1820,Layer 1, MRESRI,6.505467,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1821,Layer 1, RENDVI,0.4706392,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1822,Layer 1, VREI1,1.425421,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1823,Layer 1, VREI2,-0.07634665,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1824,Layer 1, VREI3,-0.08306355,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1825,Layer 1, PRI,0.04585279,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1826,Layer 1, PSRI,-0.006115956,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1827,Layer 1, WBI,0.964287,DO2E_ACRU_CAN08_07192018_636675979108298092_Calculations.csv
1828,Layer 1, ARI1,0.005387633,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1829,Layer 1, ARI2,0.4038258,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1830,Layer 1, CRI1,0.06934072,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1831,Layer 1, CRI2,0.07472835,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1832,Layer 1, SIPI,0.8227513,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1833,Layer 1, FRI,-1.368632,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1834,Layer 1, CNDVI,0.4321601,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1835,Layer 1, Ctr1,1.436555,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1836,Layer 1, Ctr2,0.172954,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1837,Layer 1, G,3.076549,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1838,Layer 1, GM1,3.963939,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1839,Layer 1, GM2,3.573625,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1840,Layer 1, Lic1,0.8514523,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1841,Layer 1, Lic2,0.9981522,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1842,Layer 1, NDVI,0.8514523,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1843,Layer 1, NPCI,-0.1774371,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1844,Layer 1, NPQI,0.07362584,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1845,Layer 1, SRPI,1.431425,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1846,Layer 1, TCARI,39.11535,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1847,Layer 1, TVI,4492.761,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1848,Layer 1, ZMI,2.000649,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1849,Layer 1, MRESRI,6.415305,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1850,Layer 1, RENDVI,0.4321601,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1851,Layer 1, VREI1,1.367694,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1852,Layer 1, VREI2,-0.06674873,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1853,Layer 1, VREI3,-0.07195028,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1854,Layer 1, PRI,0.03558281,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1855,Layer 1, PSRI,-0.007739013,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1856,Layer 1, WBI,0.9468864,DO2E_ACRU_CAN09_07192018_636675979346574630_Calculations.csv
1857,Layer 1, ARI1,0.005679702,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1858,Layer 1, ARI2,0.4415568,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1859,Layer 1, CRI1,0.06340718,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1860,Layer 1, CRI2,0.06908688,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1861,Layer 1, SIPI,0.8135564,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1862,Layer 1, FRI,-1.351045,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1863,Layer 1, CNDVI,0.4140408,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1864,Layer 1, Ctr1,1.418289,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1865,Layer 1, Ctr2,0.1841878,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1866,Layer 1, G,2.96816,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1867,Layer 1, GM1,3.815138,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1868,Layer 1, GM2,3.38895,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1869,Layer 1, Lic1,0.8416301,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1870,Layer 1, Lic2,0.9855618,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1871,Layer 1, NDVI,0.8416301,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1872,Layer 1, NPCI,-0.1703796,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1873,Layer 1, NPQI,0.07229169,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1874,Layer 1, SRPI,1.410741,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1875,Layer 1, TCARI,41.84261,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1876,Layer 1, TVI,4637.737,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1877,Layer 1, ZMI,1.923672,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1878,Layer 1, MRESRI,6.774264,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1879,Layer 1, RENDVI,0.4140408,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1880,Layer 1, VREI1,1.345691,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1881,Layer 1, VREI2,-0.06015372,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1882,Layer 1, VREI3,-0.0645142,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1883,Layer 1, PRI,0.02950501,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1884,Layer 1, PSRI,-0.007195876,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1885,Layer 1, WBI,0.9505709,DO2E_ACRU_CAN10_07192018_636675979669697519_Calculations.csv
1886,Layer 1, ARI1,0.001799784,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1887,Layer 1, ARI2,0.1451553,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1888,Layer 1, CRI1,0.06419414,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1889,Layer 1, CRI2,0.06599392,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1890,Layer 1, SIPI,0.8134632,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1891,Layer 1, FRI,-1.500727,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1892,Layer 1, CNDVI,0.4584231,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1893,Layer 1, Ctr1,1.190029,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1894,Layer 1, Ctr2,0.1575082,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1895,Layer 1, G,2.842097,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1896,Layer 1, GM1,4.038015,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1897,Layer 1, GM2,3.897747,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1898,Layer 1, Lic1,0.8433014,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1899,Layer 1, Lic2,1.115692,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1900,Layer 1, NDVI,0.8433014,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1901,Layer 1, NPCI,-0.1871272,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1902,Layer 1, NPQI,0.07775105,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1903,Layer 1, SRPI,1.46041,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1904,Layer 1, TCARI,38.66084,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1905,Layer 1, TVI,4778.872,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1906,Layer 1, ZMI,2.09051,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1907,Layer 1, MRESRI,6.868409,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1908,Layer 1, RENDVI,0.4584231,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1909,Layer 1, VREI1,1.400049,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1910,Layer 1, VREI2,-0.07065306,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1911,Layer 1, VREI3,-0.07654352,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1912,Layer 1, PRI,0.0527315,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1913,Layer 1, PSRI,-0.00647387,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1914,Layer 1, WBI,0.9461141,DO2E_ACRU_CAN11_07192018_636675979889377473_Calculations.csv
1915,Layer 1, ARI1,-0.002632943,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1916,Layer 1, ARI2,-0.198518,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1917,Layer 1, CRI1,0.04719482,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1918,Layer 1, CRI2,0.04456188,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1919,Layer 1, SIPI,0.8185236,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1920,Layer 1, FRI,0.2480524,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1921,Layer 1, CNDVI,0.5559238,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1922,Layer 1, Ctr1,1.26855,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1923,Layer 1, Ctr2,0.1354241,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1924,Layer 1, G,2.34275,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1925,Layer 1, GM1,4.810364,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1926,Layer 1, GM2,5.002183,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1927,Layer 1, Lic1,0.8422651,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1928,Layer 1, Lic2,1.057558,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1929,Layer 1, NDVI,0.8422651,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1930,Layer 1, NPCI,-0.09862431,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1931,Layer 1, NPQI,-0.00092958,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1932,Layer 1, SRPI,1.218831,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1933,Layer 1, TCARI,25.04414,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1934,Layer 1, TVI,4329.261,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1935,Layer 1, ZMI,2.622235,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1936,Layer 1, MRESRI,5.405269,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1937,Layer 1, RENDVI,0.5559238,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1938,Layer 1, VREI1,1.554038,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1939,Layer 1, VREI2,-0.09488539,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1940,Layer 1, VREI3,-0.1062548,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1941,Layer 1, PRI,0.04783184,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1942,Layer 1, PSRI,-0.02376638,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1943,Layer 1, WBI,0.9921468,DO2E_POGR_CAN01_07182018_636675309758733228_Calculations.csv
1944,Layer 1, ARI1,-0.004257513,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1945,Layer 1, ARI2,-0.3168828,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1946,Layer 1, CRI1,0.05575196,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1947,Layer 1, CRI2,0.05149445,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1948,Layer 1, SIPI,0.8245147,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1949,Layer 1, FRI,0.07784869,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1950,Layer 1, CNDVI,0.5530118,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1951,Layer 1, Ctr1,1.151958,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1952,Layer 1, Ctr2,0.1272284,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1953,Layer 1, G,2.576764,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1954,Layer 1, GM1,4.752632,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1955,Layer 1, GM2,5.059062,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1956,Layer 1, Lic1,0.8529998,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1957,Layer 1, Lic2,1.154882,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1958,Layer 1, NDVI,0.8529998,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1959,Layer 1, NPCI,-0.1463905,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1960,Layer 1, NPQI,0.01845356,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1961,Layer 1, SRPI,1.342992,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1962,Layer 1, TCARI,26.3534,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1963,Layer 1, TVI,4335.632,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
1964,Layer 1, ZMI,2.577063,DO2E_POGR_CAN02_07182018_636675309966274062_Calculations.csv
