,layer_1,calculation,value,v1
53,Layer 1, VREI1,1.408573,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
54,Layer 1, VREI2,-0.0731682,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
55,Layer 1, VREI3,-0.07946123,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
56,Layer 1, PRI,0.05151567,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
57,Layer 1, PSRI,-0.008298125,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
58,Layer 1, WBI,0.9373986,DO1E_ACRU_CAN02_07222018_636678776685599983_Calculations.csv
59,Layer 1, ARI1,0.000902992,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
60,Layer 1, ARI2,0.07612793,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
61,Layer 1, CRI1,0.06087523,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
62,Layer 1, CRI2,0.06177823,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
63,Layer 1, SIPI,0.8014437,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
64,Layer 1, FRI,-1.686368,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
65,Layer 1, CNDVI,0.4618936,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
66,Layer 1, Ctr1,1.030025,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
67,Layer 1, Ctr2,0.1564074,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
68,Layer 1, G,2.900429,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
69,Layer 1, GM1,3.988836,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
70,Layer 1, GM2,3.915504,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
71,Layer 1, Lic1,0.8437316,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
72,Layer 1, Lic2,1.264164,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
73,Layer 1, NDVI,0.8437316,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
74,Layer 1, NPCI,-0.2287406,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
75,Layer 1, NPQI,0.07052073,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
76,Layer 1, SRPI,1.593161,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
77,Layer 1, TCARI,40.61091,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
78,Layer 1, TVI,4989.288,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
79,Layer 1, ZMI,2.101318,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
80,Layer 1, MRESRI,7.456183,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
81,Layer 1, RENDVI,0.4618936,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
82,Layer 1, VREI1,1.394138,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
83,Layer 1, VREI2,-0.06984555,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
84,Layer 1, VREI3,-0.07565565,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
85,Layer 1, PRI,0.05703226,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
86,Layer 1, PSRI,-0.007408735,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
87,Layer 1, WBI,0.9379038,DO1E_ACRU_CAN03_07222018_636678778975055665_Calculations.csv
88,Layer 1, ARI1,-0.000990595,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
89,Layer 1, ARI2,-0.08275373,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
90,Layer 1, CRI1,0.0552036,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
91,Layer 1, CRI2,0.05421301,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
92,Layer 1, SIPI,0.8003481,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
93,Layer 1, FRI,-1.181141,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
94,Layer 1, CNDVI,0.5021393,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
95,Layer 1, Ctr1,0.9929542,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
96,Layer 1, Ctr2,0.1475471,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
97,Layer 1, G,2.744776,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
98,Layer 1, GM1,4.239827,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
99,Layer 1, GM2,4.319002,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
100,Layer 1, Lic1,0.8457421,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
101,Layer 1, Lic2,1.292124,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
102,Layer 1, NDVI,0.8457421,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
103,Layer 1, NPCI,-0.2452009,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
104,Layer 1, NPQI,0.06491361,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
105,Layer 1, SRPI,1.649712,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
106,Layer 1, TCARI,35.18505,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
107,Layer 1, TVI,4853.564,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
108,Layer 1, ZMI,2.312496,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
109,Layer 1, MRESRI,6.855307,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
110,Layer 1, RENDVI,0.5021393,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
111,Layer 1, VREI1,1.470542,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
112,Layer 1, VREI2,-0.08850278,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
113,Layer 1, VREI3,-0.09694006,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
114,Layer 1, PRI,0.0552083,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
115,Layer 1, PSRI,-0.01321047,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
116,Layer 1, WBI,0.9412426,DO1E_ACRU_CAN04_07222018_636678784098294626_Calculations.csv
117,Layer 1, ARI1,-0.000284504,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
118,Layer 1, ARI2,-0.02427555,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
119,Layer 1, CRI1,0.0580314,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
120,Layer 1, CRI2,0.0577469,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
121,Layer 1, SIPI,0.7955614,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
122,Layer 1, FRI,-1.572535,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
123,Layer 1, CNDVI,0.5102671,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
124,Layer 1, Ctr1,0.9260477,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
125,Layer 1, Ctr2,0.1411057,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
126,Layer 1, G,2.470209,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
127,Layer 1, GM1,4.46865,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
128,Layer 1, GM2,4.491742,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
129,Layer 1, Lic1,0.839386,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
130,Layer 1, Lic2,1.334608,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
131,Layer 1, NDVI,0.839386,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
132,Layer 1, NPCI,-0.234221,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
133,Layer 1, NPQI,0.07762224,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
134,Layer 1, SRPI,1.61172,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
135,Layer 1, TCARI,32.21246,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
136,Layer 1, TVI,4858.741,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
137,Layer 1, ZMI,2.35274,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
138,Layer 1, MRESRI,6.768045,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
139,Layer 1, RENDVI,0.5102671,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
140,Layer 1, VREI1,1.476601,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
141,Layer 1, VREI2,-0.08928124,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
142,Layer 1, VREI3,-0.09808752,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
143,Layer 1, PRI,0.04468371,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
144,Layer 1, PSRI,-0.007032086,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
145,Layer 1, WBI,0.9340015,DO1E_ACRU_CAN05_07222018_636678787132104928_Calculations.csv
146,Layer 1, ARI1,-0.001462808,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
147,Layer 1, ARI2,-0.1263091,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
148,Layer 1, CRI1,0.04865499,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
149,Layer 1, CRI2,0.04719219,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
150,Layer 1, SIPI,0.7890417,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
151,Layer 1, FRI,-1.266259,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
152,Layer 1, CNDVI,0.4970773,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
153,Layer 1, Ctr1,0.9649354,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
154,Layer 1, Ctr2,0.1535518,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
155,Layer 1, G,2.477904,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
156,Layer 1, GM1,4.138381,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
157,Layer 1, GM2,4.258809,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
158,Layer 1, Lic1,0.8284909,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
159,Layer 1, Lic2,1.273206,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
160,Layer 1, NDVI,0.8284909,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
161,Layer 1, NPCI,-0.2095326,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
162,Layer 1, NPQI,0.06876364,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
163,Layer 1, SRPI,1.530149,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
164,Layer 1, TCARI,34.71738,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
165,Layer 1, TVI,4932.383,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
166,Layer 1, ZMI,2.288328,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
167,Layer 1, MRESRI,7.167577,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
168,Layer 1, RENDVI,0.4970773,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
169,Layer 1, VREI1,1.461161,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
170,Layer 1, VREI2,-0.0863616,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
171,Layer 1, VREI3,-0.09434694,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
172,Layer 1, PRI,0.05095636,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
173,Layer 1, PSRI,-0.01062749,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
174,Layer 1, WBI,0.9406387,DO1E_ACRU_CAN06_07222018_636678789158894412_Calculations.csv
175,Layer 1, ARI1,0.000927707,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
176,Layer 1, ARI2,0.07362503,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
177,Layer 1, CRI1,0.07039381,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
178,Layer 1, CRI2,0.07132152,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
179,Layer 1, SIPI,0.8490891,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
180,Layer 1, FRI,-0.4757102,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
181,Layer 1, CNDVI,0.5161719,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
182,Layer 1, Ctr1,1.496573,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
183,Layer 1, Ctr2,0.1334112,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
184,Layer 1, G,2.666339,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
185,Layer 1, GM1,4.692136,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
186,Layer 1, GM2,4.620905,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
187,Layer 1, Lic1,0.8540159,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
188,Layer 1, Lic2,0.8999587,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
189,Layer 1, NDVI,0.8540159,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
190,Layer 1, NPCI,-0.04479699,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
191,Layer 1, NPQI,0.04683133,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
192,Layer 1, SRPI,1.093796,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
193,Layer 1, TCARI,31.28419,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
194,Layer 1, TVI,4656.467,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
195,Layer 1, ZMI,2.364627,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
196,Layer 1, MRESRI,5.04113,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
197,Layer 1, RENDVI,0.5161719,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
198,Layer 1, VREI1,1.483181,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
199,Layer 1, VREI2,-0.08663885,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
200,Layer 1, VREI3,-0.09528323,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
201,Layer 1, PRI,0.05343779,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
202,Layer 1, PSRI,-0.003478915,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
203,Layer 1, WBI,1.002422,DO1E_ACRU_CAN07_07222018_636678851591433376_Calculations.csv
204,Layer 1, ARI1,0.001701138,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
205,Layer 1, ARI2,0.1412561,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
206,Layer 1, CRI1,0.05861548,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
207,Layer 1, CRI2,0.06031661,DO1E_ACRU_CAN08_07222018_636678851838421303_Calculations.csv
