Species,SLA,Source
ACPE,19,
ACSA,19,
ACRU,19,
AMEL,16.5,
BEAL,20.82,
BEPA,20.82,
FAGR,35,
MISC,16.5,"I averaged the broadleaves, minus FAGR"
PIRE,5.39,penner and deblonde
PIST,12.5,abrams & kubiske
POGR,15.89,
POTR,15.89,
QURU,14.2,
TCSA,5.84,
