species,tag,site,dbh_cm,health_status,canopy_status,date,notes,subplot_id,group,plot_id,latitude,longitude,component,a,b,se,source,ref,leaf_mass,genus,sla,leaf_area,fate,plot_side
POGR,2903,UMBS,46.3,L,OD,7/13/2018,,A01W,A,A01,45.5635291,-84.7287584,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",16.61730223,Populus,15.89,264.0489324,kill,W
POGR,2904,UMBS,45.8,L,OD,7/13/2018,,A01W,A,A01,45.5635698,-84.7288476,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",16.21185559,Populus,15.89,257.6063854,kill,W
ACRU,2890,UMBS,43.8,L,OD,7/13/2018,2889-2890 share base,A01W,A,A01,45.5636659,-84.7287641,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",12.57705505,Acer,19,238.964046,kill,W
POGR,2978,UMBS,42.7,L,OD,7/13/2018,,A01W,A,A01,45.5636929,-84.7289766,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",13.8225185,Populus,15.89,219.639819,kill,W
FAGR,2886,UMBS,40.6,L,OS,7/13/2018,,A01W,A,A01,45.5636795,-84.7287998,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,9.766431617,Fagus,35,341.8251066,kill,W
POGR,2950,UMBS,40.6,L,OD,7/13/2018,,A01W,A,A01,45.5636786,-84.7290976,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",12.32424975,Populus,15.89,195.8323285,kill,W
POGR,2910,UMBS,40,L,OD,7/13/2018,,A01W,A,A01,45.5635027,-84.7287784,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",11.91379833,Populus,15.89,189.3102555,kill,W
POGR,2943,UMBS,39.8,L,OD,7/13/2018,,A01W,A,A01,45.5635963,-84.7290382,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",11.77871065,Populus,15.89,187.1637122,kill,W
POGR,2878,UMBS,39,L,OD,7/13/2018,,A01W,A,A01,45.5636967,-84.728821,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",11.2469754,Populus,15.89,178.7144391,kill,W
POGR,2967,UMBS,38.6,L,OD,7/13/2018,,A01W,A,A01,45.563704,-84.7290025,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",10.98626024,Populus,15.89,174.5716752,kill,W
POGR,2885,UMBS,37.4,L,OD,7/13/2018,read as outside plot at 18.41 m,A01W,A,A01,45.5637448,-84.7287391,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",10.22460782,Populus,15.89,162.4690183,kill,W
POGR,2947,UMBS,37.3,L,OD,7/13/2018,,A01W,A,A01,45.5636331,-84.7289473,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",10.16251867,Populus,15.89,161.4824217,kill,W
POGR,2879,UMBS,37.2,L,OD,7/13/2018,,A01W,A,A01,45.5636704,-84.7288268,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",10.10064139,Populus,15.89,160.4991917,kill,W
POGR,2912,UMBS,37,L,OD,7/13/2018,read as outside plot at 18.33 m as tripod is not directly at center,A01W,A,A01,45.5634888,-84.7287777,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",9.977521824,Populus,15.89,158.5428218,kill,W
POGR,2944,UMBS,36.9,L,OD,7/13/2018,,A01W,A,A01,45.5636134,-84.7290876,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",9.916279223,Populus,15.89,157.5696769,kill,W
POGR,2911,UMBS,36.8,L,OD,7/13/2018,,A01W,A,A01,45.5636186,-84.7290703,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",9.855247868,Populus,15.89,156.5998886,kill,W
POGR,2966,UMBS,36.7,L,OD,7/13/2018,,A01W,A,A01,45.5636485,-84.7289513,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",9.794427601,Populus,15.89,155.6334546,kill,W
POGR,2965,UMBS,35.9,L,OD,7/13/2018,,A01W,A,A01,45.5636605,-84.729004,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",9.315445614,Populus,15.89,148.0224308,kill,W
ACRU,2894,UMBS,35.2,L,OS,7/13/2018,2893-2894 share base,A01W,A,A01,45.5637625,-84.7290275,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",8.982237489,Acer,19,170.6625123,kill,W
ACSA,2888,UMBS,35,L,OD,7/13/2018,,A01W,A,A01,45.5636564,-84.7288181,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",15.32487918,Acer,19,291.1727044,kill,W
POGR,2935,UMBS,34,L,OD,7/13/2018,,A01W,A,A01,45.5635652,-84.7290314,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",8.231487072,Populus,15.89,130.7983296,kill,W
POGR,2948,UMBS,34,L,OD,7/13/2018,,A01W,A,A01,45.5636495,-84.7290201,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",8.231487072,Populus,15.89,130.7983296,kill,W
POGR,2951,UMBS,33.9,L,OD,7/13/2018,,A01W,A,A01,45.5636719,-84.7290739,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",8.176511983,Populus,15.89,129.9247754,kill,W
POGR,2974,UMBS,32.8,L,OD,7/13/2018,,A01W,A,A01,45.563686,-84.7289682,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",7.585369806,Populus,15.89,120.5315262,kill,W
POGR,2976,UMBS,32.7,L,OD,7/13/2018,,A01W,A,A01,45.5636666,-84.728945,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",7.532860094,Populus,15.89,119.6971469,kill,W
