species,tag,site,dbh_cm,health_status,canopy_status,date,notes,subplot_id,group,plot_id,latitude,longitude,component,a,b,se,source,ref,leaf_mass,genus,sla,leaf_area,fate,plot_side
POGR,2931,UMBS,32.2,L,OD,7/13/2018,,A01W,A,A01,45.5635851,-84.7289339,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",7.273373205,Populus,15.89,115.5739002,kill,W
POGR,2939,UMBS,31.8,L,OD,7/13/2018,,A01W,A,A01,45.5635982,-84.7289649,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",7.069447313,Populus,15.89,112.3335178,kill,W
POGR,2930,UMBS,31.7,L,OD,7/13/2018,,A01W,A,A01,45.563568,-84.7289624,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",7.018973225,Populus,15.89,111.5314845,kill,W
POGR,2938,UMBS,31.6,L,OD,7/13/2018,SW veg plot,A01W,A,A01,45.5635738,-84.7289926,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",6.96870174,Populus,15.89,110.7326706,kill,W
POGR,2957,UMBS,31.2,L,OD,7/13/2018,,A01W,A,A01,45.5636793,-84.7290403,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",6.769638308,Populus,15.89,107.5695527,kill,W
POGR,2918,UMBS,30.9,L,OD,7/13/2018,,A01W,A,A01,45.563598,-84.7289069,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",6.622459406,Populus,15.89,105.23088,kill,W
ACRU,2984,UMBS,30.5,L,OS,7/13/2018,2981-2984 share base,A01W,A,A01,45.5637686,-84.7289617,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",7.203284773,Acer,19,136.8624107,kill,W
POGR,2898,UMBS,30.5,L,OD,7/13/2018,,A01W,A,A01,45.5636261,-84.7288983,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",6.429036607,Populus,15.89,102.1573917,kill,W
POGR,2920,UMBS,30.3,L,OD,7/13/2018,,A01W,A,A01,45.5635462,-84.728897,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",6.333528717,Populus,15.89,100.6397713,kill,W
ACRU,2983,UMBS,28.9,L,OS,7/13/2018,"2981-2984 share base, 2983 reading taken above DBH",A01W,A,A01,45.5637584,-84.7290072,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",6.629663867,Acer,19,125.9636135,kill,W
ACRU,2982,UMBS,27.6,L,OS,7/13/2018,"2981-2984 share base, 2982 reading taken above DBH",A01W,A,A01,45.5637667,-84.728989,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",6.17602177,Acer,19,117.3444136,kill,W
POGR,2923,UMBS,27.6,L,OD,7/13/2018,read as outside plot at 18.86 m as tripod is not at exact center,A01W,A,A01,45.5634579,-84.7289194,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",5.121909798,Populus,15.89,81.38714669,kill,W
POGR,2946,UMBS,27.3,L,OD,7/13/2018,,A01W,A,A01,45.5636445,-84.7290721,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",4.996130643,Populus,15.89,79.38851592,kill,W
POGR,2922,UMBS,26,L,OD,7/13/2018,,A01W,A,A01,45.5634815,-84.7288685,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",4.471241533,Populus,15.89,71.04802797,kill,W
ACRU,2919,UMBS,25.9,L,OD,7/13/2018,,A01W,A,A01,45.563575,-84.7289072,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",5.600031482,Acer,19,106.4005982,kill,W
ACRU,2901,UMBS,25.6,L,OS,7/13/2018,2901-2902 share base,A01W,A,A01,45.5635719,-84.7287142,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",5.500451991,Acer,19,104.5085878,kill,W
ACSA,2925,UMBS,25,L,OS,7/13/2018,2924-2926 share base,A01W,A,A01,45.5634952,-84.7289197,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",8.663832328,Acer,19,164.6128142,kill,W
FAGR,2876,UMBS,24.9,L,OS,7/13/2018,2876-2877 share base,A01W,A,A01,45.5636319,-84.728906,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,4.401287279,Fagus,35,154.0450548,kill,W
ACSA,2914,UMBS,24.4,L,OS,7/13/2018,,A01W,A,A01,45.5635147,-84.7288397,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",8.314334247,Acer,19,157.9723507,kill,W
POGR,2975,UMBS,24.1,L,OD,7/13/2018,,A01W,A,A01,45.5636686,-84.7289559,FL,0.0027,2.275,0.487,Upper Great Lakes,"Perala and Alban, 1994",3.76229232,Populus,15.89,59.78282496,kill,W
ACRU,2913,UMBS,22.5,L,OS,7/13/2018,,A01W,A,A01,45.5635222,-84.7288397,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",4.508892797,Acer,19,85.66896315,kill,W
FAGR,2942,UMBS,22.4,L,OS,7/13/2018,,A01W,A,A01,45.5636103,-84.729083,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,3.703951278,Fagus,35,129.6382947,kill,W
ACSA,2926,UMBS,22.1,L,OS,7/13/2018,2924-2926 share base,A01W,A,A01,45.5634947,-84.7289074,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",7.029859221,Acer,19,133.5673252,kill,W
ACRU,2889,UMBS,21.2,L,OS,7/13/2018,2889-2890 share base,A01W,A,A01,45.5636933,-84.7287906,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",4.11401677,Acer,19,78.16631862,kill,W
FAGR,2964,UMBS,19.4,L,UN,7/13/2018,2963-2964 share base,A01W,A,A01,45.5636765,-84.7290194,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,2.929942391,Fagus,35,102.5479837,kill,W
ACRU,2902,UMBS,19.3,L,OS,7/13/2018,2901-2902 share base,A01W,A,A01,45.5635777,-84.7287143,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",3.560140091,Acer,19,67.64266172,kill,W
FAGR,2897,UMBS,18.9,L,OS,7/13/2018,,A01W,A,A01,45.5636267,-84.7287955,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,2.807835111,Fagus,35,98.27422887,kill,W
FAGR,2969,UMBS,18.6,L,OS,7/13/2018,2968-2970 share base,A01W,A,A01,45.5637089,-84.7290492,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,2.735538768,Fagus,35,95.74385688,kill,W
ACRU,2981,UMBS,18.3,L,OS,7/13/2018,2981-2984 share base,A01W,A,A01,45.5637853,-84.7289373,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",3.280073005,Acer,19,62.3213871,kill,W
ACSA,2924,UMBS,17,L,UN,7/13/2018,2924-2926 share base,A01W,A,A01,45.5634938,-84.728923,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",4.506222646,Acer,19,85.61823028,kill,W
FAGR,2940,UMBS,16.9,L,OS,7/13/2018,,A01W,A,A01,45.5636134,-84.7289727,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,2.339804735,Fagus,35,81.89316573,live,W
FAGR,2958,UMBS,16.4,L,UN,7/13/2018,2958-2962 share base,A01W,A,A01,45.5636795,-84.7290413,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,2.228003386,Fagus,35,77.98011851,live,W
FAGR,2905,UMBS,16,L,OS,7/13/2018,,A01W,A,A01,45.5635795,-84.7291093,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,2.140093405,Fagus,35,74.90326919,live,W
ACSA,2929,UMBS,15.4,L,OS,7/13/2018,2927-2929 share base,A01W,A,A01,45.5634766,-84.7289234,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",3.811091237,Acer,19,72.41073351,live,W
ACSA,2928,UMBS,14.3,L,OS,7/13/2018,2927-2929 share base,A01W,A,A01,45.5634877,-84.7289696,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",3.361215113,Acer,19,63.86308714,live,W
ACSA,2916,UMBS,14.1,L,OS,7/13/2018,,A01W,A,A01,45.5635535,-84.7288813,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",3.281920979,Acer,19,62.3564986,live,W
FAGR,2968,UMBS,14,L,OS,7/13/2018,2968-2970 share base,A01W,A,A01,45.5637192,-84.7290396,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.721426394,Fagus,35,60.24992379,live,W
ACSA,2917,UMBS,13.9,L,UN,7/13/2018,,A01W,A,A01,45.5635723,-84.7288865,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",3.203404715,Acer,19,60.86468959,live,W
ACSA,2932,UMBS,13.8,L,UN,7/13/2018,"SW veg plot, 2932-2933 share base",A01W,A,A01,45.5635687,-84.7289934,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",3.164439344,Acer,19,60.12434753,live,W
FAGR,2979,UMBS,13.4,L,UN,7/13/2018,2979-2980 share base,A01W,A,A01,45.5637293,-84.7288935,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.60278354,Fagus,35,56.09742391,live,W
FAGR,2877,UMBS,13.4,L,UN,7/13/2018,2876-2877 share base,A01W,A,A01,45.5636311,-84.728904,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.60278354,Fagus,35,56.09742391,live,W
ACRU,2949,UMBS,13.3,L,UN,7/13/2018,,A01W,A,A01,45.5636722,-84.7291113,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",2.00650552,Acer,19,38.12360489,live,W
FAGR,2972,UMBS,13.2,L,UN,7/13/2018,2971-2973 share base,A01W,A,A01,45.5637388,-84.7289082,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.563967057,Fagus,35,54.73884701,live,W
ACRU,2893,UMBS,12.8,L,UN,7/13/2018,"2893-2894 share base, 2893 read as outside plot at 18.13 m",A01W,A,A01,45.5637853,-84.7289629,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",1.891525433,Acer,19,35.93898323,live,W
FAGR,2953,UMBS,12.7,L,UN,7/13/2018,,A01W,A,A01,45.5636741,-84.7290675,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.468544555,Fagus,35,51.39905942,live,W
ACSA,2915,UMBS,11.7,L,UN,7/13/2018,,A01W,A,A01,45.5635079,-84.7288442,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",2.392085837,Acer,19,45.4496309,live,W
FAGR,2970,UMBS,11.6,L,OS,7/13/2018,2968-2970 share base,A01W,A,A01,45.5637249,-84.7290252,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.26689838,Fagus,35,44.34144331,live,W
FAGR,2971,UMBS,11.3,L,UN,7/13/2018,2971-2973 share base,A01W,A,A01,45.5637246,-84.7289913,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.213918996,Fagus,35,42.48716485,live,W
FAGR,2980,UMBS,10.9,L,UN,7/13/2018,2979-2980 share base,A01W,A,A01,45.5637222,-84.728937,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.14464902,Fagus,35,40.06271568,live,W
ACSA,2921,UMBS,10.7,L,UN,7/13/2018,,A01W,A,A01,45.5635239,-84.7288298,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",2.055924809,Acer,19,39.06257137,live,W
FAGR,2955,UMBS,10.6,L,UN,7/13/2018,2954-2956 share base,A01W,A,A01,45.5636946,-84.7290597,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.093734907,Fagus,35,38.28072176,live,W
FAGR,2963,UMBS,10.5,L,UN,7/13/2018,2963-2964 share base,A01W,A,A01,45.5636767,-84.7290195,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.07696313,Fagus,35,37.69370954,live,W
ACSA,2909,UMBS,10,L,UN,7/13/2018,,A01W,A,A01,45.5635199,-84.7287878,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",1.833165706,Acer,19,34.83014841,live,W
FAGR,2959,UMBS,9.9,L,UN,7/13/2018,2958-2962 share base,A01W,A,A01,45.5636823,-84.7290324,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,0.978453022,Fagus,35,34.24585576,live,W
FAGR,2954,UMBS,9.1,L,UN,7/13/2018,2954-2956 share base,A01W,A,A01,45.5636873,-84.7290724,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,0.852866592,Fagus,35,29.85033073,live,W
FAGR,2887,UMBS,9.1,L,UN,7/13/2018,,A01W,A,A01,45.5636459,-84.7288482,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,0.852866592,Fagus,35,29.85033073,live,W
FAGR,2899,UMBS,8.8,L,UN,7/13/2018,reading taken below DBH,A01W,A,A01,45.563617,-84.7288152,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,0.80750649,Fagus,35,28.26272715,live,W
FAGR,2973,UMBS,8.3,L,UN,7/13/2018,2971-2973 share base,A01W,A,A01,45.5637164,-84.7289886,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,0.734055564,Fagus,35,25.69194475,live,W
ACSA,2896,UMBS,8,L,UN,7/13/2018,,A01W,A,A01,45.5636332,-84.7287263,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",1.255854286,Acer,19,23.86123143,live,W
FAGR,2891,UMBS,8,L,UN,7/13/2018,2891-2892 share base,A01W,A,A01,45.5636743,-84.7287637,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,0.691295177,Fagus,35,24.19533119,live,W
FAGR,2807,UMBS,8.3,L,UN,7/12/2018,shares base with smaller tree,A01E,A,A01,45.5635867,-84.7282425,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,0.734055564,Fagus,35,25.69194475,kill,E
ACRU,2868,UMBS,8.4,M,UN,7/12/2018,,A01E,A,A01,45.5636935,-84.7283638,FL,0.0373,1.54,0.569,Michigan,"Crow and Erdman, 1983",0.988778313,Acer,19,18.78678794,kill,E
ACSA,2813,UMBS,8.4,L,UN,7/12/2018,,A01E,A,A01,45.5635797,-84.7282113,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",1.364127971,Acer,19,25.91843144,kill,E
FAGR,2804,UMBS,9.4,L,UN,7/12/2018,,A01E,A,A01,45.5635528,-84.7281642,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,0.899179218,Fagus,35,31.47127262,kill,E
FAGR,2830,UMBS,9.6,L,UN,7/12/2018,,A01E,A,A01,45.5635886,-84.7284034,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,0.930577853,Fagus,35,32.57022484,kill,E
FAGR,2780,UMBS,9.7,L,UN,7/12/2018,,A01E,A,A01,45.5637342,-84.7282076,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,0.94643301,Fagus,35,33.12515535,kill,E
ACSA,2779,UMBS,9.8,L,UN,7/12/2018,2778 - 2779 share base,A01E,A,A01,45.5637668,-84.7282843,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",1.771454176,Acer,19,33.65762934,kill,E
FAGR,2858,UMBS,10.1,L,OS,7/12/2018,,A01E,A,A01,45.5637063,-84.7284987,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.010883381,Fagus,35,35.38091833,kill,E
FAGR,2834,UMBS,10.2,L,UN,7/12/2018,2832 - 2834 share base,A01E,A,A01,45.5635659,-84.7284267,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.027251493,Fagus,35,35.95380225,kill,E
FAGR,2860,UMBS,10.2,L,UN,7/12/2018,2859 - 2861 share base,A01E,A,A01,45.5637393,-84.7284606,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.027251493,Fagus,35,35.95380225,kill,E
ACSA,2814,UMBS,10.3,L,OS,7/12/2018,,A01E,A,A01,45.5635748,-84.7282157,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",1.927351029,Acer,19,36.61966954,kill,E
FAGR,2854,UMBS,10.4,L,UN,7/12/2018,2854 - 2855 share base,A01E,A,A01,45.563681,-84.7283851,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.06029173,Fagus,35,37.11021055,kill,E
FAGR,2864,UMBS,10.5,L,UN,7/12/2018,,A01E,A,A01,45.5637033,-84.7283997,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.07696313,Fagus,35,37.69370954,kill,E
FAGR,2774,UMBS,10.8,L,UN,7/12/2018,,A01E,A,A01,45.563796,-84.7281927,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.127578197,Fagus,35,39.46523689,kill,E
ACSA,2841,UMBS,10.9,L,OS,7/12/2018,"2841 - 2842 share base, taken a little above DBH",A01E,A,A01,45.5635589,-84.7284019,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",2.121483401,Acer,19,40.30818462,kill,E
ACSA,2794,UMBS,10.9,L,UN,7/12/2018,2794 - 2795 share base,A01E,A,A01,45.5636604,-84.728119,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",2.121483401,Acer,19,40.30818462,kill,E
FAGR,2851,UMBS,10.9,L,OS,7/12/2018,Shares base with smaller tree,A01E,A,A01,45.5636784,-84.728488,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.14464902,Fagus,35,40.06271568,kill,E
FAGR,2821,UMBS,10.9,L,UN,7/12/2018,,A01E,A,A01,45.5636121,-84.728299,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.14464902,Fagus,35,40.06271568,kill,E
FAGR,2852,UMBS,11.8,L,OS,7/12/2018,,A01E,A,A01,45.5637062,-84.7284664,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.302702233,Fagus,35,45.59457815,kill,E
ACSA,2844,UMBS,11.9,L,OS,7/12/2018,Shares base with smaller tree,A01E,A,A01,45.5635976,-84.7285064,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",2.461805988,Acer,19,46.77431376,kill,E
ACSA,2806,UMBS,12,L,OS,7/12/2018,Shares base with smaller tree,A01E,A,A01,45.5635893,-84.7282011,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",2.496973516,Acer,19,47.44249681,kill,E
ACSA,2850,UMBS,12,L,OS,7/12/2018,,A01E,A,A01,45.5636762,-84.7285868,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",2.496973516,Acer,19,47.44249681,kill,E
FAGR,2788,UMBS,12.7,L,OS,7/12/2018,,A01E,A,A01,45.5636936,-84.7282258,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.468544555,Fagus,35,51.39905942,kill,E
FAGR,2799,UMBS,13,L,OS,7/12/2018,,A01E,A,A01,45.5636716,-84.728219,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.525519517,Fagus,35,53.3931831,kill,E
FAGR,2808,UMBS,13.4,L,OS,7/12/2018,Shares base with smaller tree,A01E,A,A01,45.5635993,-84.7282522,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.60278354,Fagus,35,56.09742391,kill,E
ACSA,2842,UMBS,14,L,OS,7/12/2018,2841 - 2842 share base,A01E,A,A01,45.5635876,-84.7284606,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",3.242565402,Acer,19,61.60874265,kill,E
FAGR,2866,UMBS,14.2,L,OS,7/12/2018,,A01E,A,A01,45.5636743,-84.7283381,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.761698599,Fagus,35,61.65945095,kill,E
FAGR,2828,UMBS,14.6,L,OS,7/12/2018,Shares base with smaller tree,A01E,A,A01,45.5636463,-84.7283245,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.8433185,Fagus,35,64.5161475,kill,E
FAGR,2859,UMBS,14.8,L,OS,7/12/2018,2859 - 2861 share base,A01E,A,A01,45.5637557,-84.7284411,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,1.884662528,Fagus,35,65.96318846,kill,E
FAGR,2803,UMBS,15.5,L,OS,7/12/2018,,A01E,A,A01,45.5635786,-84.7281383,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,2.0321403,Fagus,35,71.1249105,kill,E
ACSA,2873,UMBS,15.6,L,OD,7/15/2018,2873 - 2874 share base,A01E,A,A01,45.5637896,-84.728413,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",3.895362852,Acer,19,74.01189418,kill,E
FAGR,2861,UMBS,15.6,L,OS,7/12/2018,2859 - 2861 share base,A01E,A,A01,45.5637842,-84.7282666,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,2.053557907,Fagus,35,71.87452674,kill,E
ACSA,2778,UMBS,16,L,OS,7/12/2018,2778 - 2779 share base,A01E,A,A01,45.5637649,-84.7282879,FL,0.037,1.695,0.405,Upper Great Lakes,"Perala and Alban, 1994",4.066165907,Acer,19,77.25715223,kill,E
FAGR,2783,UMBS,16.5,L,OS,7/12/2018,,A01E,A,A01,45.5637514,-84.7282503,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,2.250194171,Fagus,35,78.75679597,kill,E
FAGR,2833,UMBS,19.1,L,OS,7/12/2018,2832 - 2834 share base,A01E,A,A01,45.5635584,-84.7284051,FL,0.0233,1.6303,0.341,New Brunswick,ker 1980a,2.856436801,Fagus,35,99.97528803,kill,E
