Species,a.biomass,b.biomass
ACPE,0.0049,2.094
ACRU,0.0312,2.778
ACSA,0.1693,2.3436
AMEL,0.163,2.494
BEAL,0.0301,2.8387
BEPA,0.0301,2.8387
FAGR,0.1892,2.3097
PIRE,0.0526,2.5258
PIST,0.0408,2.5735
POGR,0.1387,2.3498
POTR,0.0589,2.6235
QURU,0.0398,2.7734
TSCA,0.0991,2.3617
