subplot,uniqueID,vegplot_direction,vegplot_ID,species,baseD_cm,height_2018,height_2019,notes,date,initial
A01E,A01E2,2,NE,ACSA,0-1,4.6,6.2,,6/19/2019,AS
A01E,A01E2,2,NE,ACPE,0-1,12.6,14.7,,6/19/2019,AS
A01E,A01E2,2,NE,ACPE,0-1,15.1,18.8,,6/19/2019,AS
A01E,A01E2,2,NE,ACPE,0-1,50,52.2,,6/19/2019,AS
A01E,A01E2,2,NE,ACPE,0-1,48.6,50.4,,6/19/2019,AS
A01E,A01E2,2,NE,ACRU,0-1,8.4,9.3,,6/19/2019,AS
A01E,A01E2,2,NE,ACPE,0-1,21.5,23.1,,6/19/2019,AS
A01E,A01E2,2,NE,ACSA,0-1,9.4,11.2,,6/19/2019,AS
A01E,A01E2,2,NE,ACSA,0-1,11.5,12.1,,6/19/2019,AS
A01E,A01E2,2,NE,ACRU,0-1,8.5,9.3,,6/19/2019,AS
A01E,A01E2,2,NE,ACPE,0-1,17.1,19.3,,6/19/2019,AS
A01E,A01E2,2,NE,ACPE,0-1,17,18.2,,6/19/2019,AS
A01E,A01E2,2,NE,ACSA,0-1,14.2,15.1,,6/19/2019,AS
A01E,A01E2,2,NE,ACSA,0-1,15.1,15.8,,6/19/2019,AS
A01E,A01E2,2,NE,ACRU,0-1,6.5,7,,6/19/2019,AS
A01E,A01E2,2,NE,ACSA,0-1,8.8,9.5,,6/19/2019,AS
A01E,A01E2,2,NE,NA,0-1,8.5,9.1,,6/19/2019,AS
A01E,A01E2,2,NE,ACSA,0-1,15.5,16.2,,6/19/2019,AS
A01E,A01E2,2,NE,ACSA,0-1,8,9.3,,6/19/2019,AS
A01E,A01E2,2,NE,ACPE,0-1,85.4,87.6,,6/19/2019,AS
A01E,A01E2,2,NE,ACPE,0-1,149.6,153.8,,6/19/2019,AS
A01E,A01E2,2,NE,ACRU,0-1,0,3.9,,6/19/2019,MG
A01E,A01E2,2,NE,ACSA,0-1,5.4,6,,6/19/2019,MG
A01E,A01E2,2,NE,ACRU,0-1,0,3.4,,6/19/2019,MG
A01E,A01E2,2,NE,ACRU,0-1,15.6,17.2,,6/19/2019,MG
A01E,A01E2,2,NE,ACRU,0-1,5.2,6,,6/19/2019,MG
A01E,A01E2,2,NE,ACSA,0-1,12.1,12.6,,6/19/2019,MG
A01E,A01E2,2,NE,ACSA,0-1,14.2,15.5,,6/19/2019,MG
A01E,A01E2,2,NE,ACSA,0-1,11.4,13.2,,6/19/2019,MG
A01E,A01E2,2,NE,ACPE,0-1,11.6,15,,6/19/2019,MG
A01E,A01E2,2,NE,ACSA,0-1,13,13.7,,6/19/2019,MG
A01E,A01E2,2,NE,ACRU,0-1,7.1,7.5,,6/19/2019,MG
A01E,A01E2,2,NE,ACRU,0-1,5.3,6.4,,6/19/2019,MG
A01E,A01E4,4,SE,ACPE,0-1,24.9,28.6,,6/19/2019,AS
A01E,A01E4,4,SE,ACPE,0-1,12.8,14.7,,6/19/2019,AS
A01E,A01E4,4,SE,ACRU,0-1,5,6.6,,6/19/2019,AS
A01E,A01E4,4,SE,ACSA,0-1,9.9,10.9,,6/19/2019,AS
A01E,A01E4,4,SE,ACPE,0-1,16.9,19.8,,6/19/2019,AS
A01E,A01E4,4,SE,ACPE,0-1,49.4,50.6,,6/19/2019,AS
A01E,A01E4,4,SE,ACRU,0-1,4.3,7.4,,6/19/2019,AS
A01E,A01E4,4,SE,ACSA,0-1,7.2,9.4,,6/19/2019,AS
A01E,A01E4,4,SE,ACPE,0-1,15.5,17.9,,6/19/2019,AS
A01E,A01E4,4,SE,ACPE,0-1,34.5,37.7,,6/19/2019,AS
A01E,A01E4,4,SE,ACPE,0-1,10,12.4,,6/19/2019,AS
A01E,A01E4,4,SE,ACPE,0-1,22,24.4,,6/19/2019,AS
A01E,A01E4,4,SE,ACPE,0-1,8.5,8.9,,6/19/2019,AS
A01E,A01E4,4,SE,ACRU,0-1,2.3,4.2,,6/19/2019,AS
A01E,A01E4,4,SE,ACRU,0-1,5.9,6.6,,6/19/2019,AS
A01E,A01E4,4,SE,ACSA,0-1,11.2,12.8,,6/19/2019,AS
A01E,A01E4,4,SE,ACSA,0-1,8.1,new,,6/19/2019,AS
A01E,A01E4,4,SE,ACSA,0-1,14.5,15.8,,6/19/2019,AS
A01E,A01E4,4,SE,ACSA,0-1,9.9,12.4,,6/19/2019,AS
A01E,A01E4,4,SE,ACPE,0-1,38.4,40.6,,6/19/2019,AS
A01E,A01E6,6,SW,ACPE,0-1,51,52.6,,6/19/2019,AS
A01E,A01E6,6,SW,ACRU,0-1,3.6,new,,6/19/2019,AS
A01E,A01E6,6,SW,ACRU,0-1,11.1,12.2,,6/19/2019,AS
A01E,A01E6,6,SW,ACRU,0-1,4,new,,6/19/2019,AS
A01E,A01E6,6,SW,ACPE,0-1,23.8,25.4,,6/19/2019,AS
A01E,A01E6,6,SW,ACRU,0-1,4.5,new,,6/19/2019,AS
A01E,A01E6,6,SW,ACRU,0-1,7.9,8.9,,6/19/2019,AS
A01E,A01E6,6,SW,ACPE,0-1,54.8,58.4,,6/19/2019,AS
A01E,A01E6,6,SW,ACRU,0-1,9.4,9.8,,6/19/2019,AS
A01E,A01E6,6,SW,ACRU,0-1,4.5,4.6,,6/19/2019,AS
A01E,A01E6,6,SW,ACPE,0-1,40.5,43,,6/19/2019,AS
A01E,A01E6,6,SW,ACPE,0-1,24.3,29,,6/19/2019,AS
A01E,A01E6,6,SW,ACSA,0-1,10.1,10.3,,6/19/2019,AS
A01E,A01E6,6,SW,ACPE,0-1,64.5,67.3,,6/19/2019,AS
A01E,A01E6,6,SW,ACPE,0-1,105,107.9,,6/19/2019,AS
A01E,A01E6,6,SW,ACPE,0-1,76.3,78.1,,6/19/2019,AS
A01E,A01E6,6,SW,ACPE,0-1,60.4,63.5,,6/19/2019,AS
A01E,A01E6,6,SW,ACPE,0-1,26,27.8,,6/19/2019,AS
A01E,A01E6,6,SW,ACPE,0-1,49,50.8,,6/19/2019,AS
A01E,A01E6,6,SW,ACRU,0-1,6,new,,6/19/2019,AS
A01E,A01E6,6,SW,AMEL,0-1,15.8,16.1,,6/19/2019,AS
A01E,A01E6,6,SW,AMEL,0-1,9.8,10.7,,6/19/2019,AS
A01E,A01E6,6,SW,ACRU,0-1,8.9,new,,6/19/2019,AS
A01E,A01E6,6,SW,AMEL,0-1,3.2,6.5,,6/19/2019,AS
