subplot,uniqueID,vegplot_direction,vegplot_ID,species,baseD_cm,height_2018,height_2019,notes,date,initial
A01E,A01E6,6,SW,ACPE,0-1,5.4,11.6,,6/19/2019,AS
A01E,A01E6,6,SW,ACPE,0-1,18.2,20.1,,6/19/2019,AS
A01E,A01E6,6,SW,ACPE,2-Jan,136.8,137.6,,6/19/2019,AS
A01E,A01E8,8,NW,ACPE,0-1,7,18.5,,6/19/2019,AS
A01E,A01E8,8,NW,ACPE,0-1,19.3,20.4,,6/19/2019,AS
A01E,A01E8,8,NW,ACPE,0-1,21,22.5,,6/19/2019,AS
A01E,A01E8,8,NW,ACSA,0-1,9,9.3,,6/19/2019,AS
A01E,A01E8,8,NW,ACPE,0-1,14,16.4,,6/19/2019,AS
A01E,A01E8,8,NW,ACPE,0-1,35.5,37.6,,6/19/2019,AS
A01E,A01E8,8,NW,AMEL,0-1,29,29.4,,6/19/2019,AS
A01E,A01E8,8,NW,ACPE,0-1,87.4,89.8,,6/19/2019,AS
A01E,A01E8,8,NW,ACPE,0-1,69.5,72.9,,6/19/2019,AS
A01E,A01E8,8,NW,ACPE,0-1,57.5,60.4,,6/19/2019,AS
A01E,A01E8,8,NW,ACSA,0-1,14.4,14.6,,6/19/2019,AS
A01E,A01E8,8,NW,ACPE,0-1,33.2,35.5,,6/19/2019,AS
A01W,A01W2,2,NE,FAGR,0-1,151.5,152.5,,6/19/2019,AS
A01W,A01W2,2,NE,AMEL,0-1,26.3,27.9,,6/19/2019,AS
A01W,A01W2,2,NE,ACPE,0-1,28.1,30,,6/19/2019,AS
A01W,A01W2,2,NE,ACPE,0-1,32.4,34.5,,6/19/2019,AS
A01W,A01W2,2,NE,ACPE,0-1,79.4,82.1,,6/19/2019,AS
A01W,A01W2,2,NE,FAGR,0-1,93.5,94.6,,6/19/2019,AS
A01W,A01W2,2,NE,ACPE,0-1,36.9,38.2,,6/19/2019,AS
A01W,A01W2,2,NE,FAGR,0-1,17.2,18.3,,6/19/2019,AS
A01W,A01W2,2,NE,FAGR,0-1,184,189,,6/19/2019,AS
A01W,A01W2,2,NE,ACPE,2-Jan,235.5,239.5,tag# 2884,6/19/2019,AS
A01W,A01W2,2,NE,FAGR,2-Jan,223.5,258.5,,6/19/2019,AS
A01W,A01W2,2,NE,ACPE,2-Jan,168.4,182,,6/19/2019,AS
A01W,A01W4,4,SE,ACPE,0-1,12.7,14.4,,6/19/2019,AS
A01W,A01W4,4,SE,ACPE,0-1,6.8,9.2,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,6,6.9,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,0,4,,6/19/2019,AS
A01W,A01W4,4,SE,ACSA,0-1,4.8,5,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,9.5,10,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,7.3,7.5,,6/19/2019,AS
A01W,A01W4,4,SE,ACSA,0-1,7.5,8,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,8,8.9,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,5.6,6.1,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,7,7.3,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,0,4,,6/19/2019,AS
A01W,A01W4,4,SE,ACPE,0-1,18.1,21,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,6.1,6.2,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,7.4,7.5,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,7.9,7.2,typo in the field ,6/19/2019,AS
A01W,A01W4,4,SE,ACPE,0-1,55.9,59.2,,6/19/2019,AS
A01W,A01W4,4,SE,ACPE,0-1,50.5,52.5,,6/19/2019,AS
A01W,A01W4,4,SE,ACPE,0-1,59,61.3,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,11.4,12,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,8,8.4,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,9.2,12,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,9.5,10.3,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,8.9,9.6,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,8,8.6,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,8.2,10,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,7.3,8.4,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,6,7.1,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,7,7.5,,6/19/2019,AS
A01W,A01W4,4,SE,ACSA,0-1,6,8.2,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,0,5.4,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,0,2.9,,6/19/2019,AS
A01W,A01W4,4,SE,ACRU,0-1,5.1,5.6,,6/19/2019,AS
A01W,A01W4,4,SE,FAGR,2-Jan,173.2,183.4,,6/19/2019,AS
A01W,A01W4,4,SE,FAGR,3-Feb,263.5,274.5,,6/19/2019,AS
A01W,A01W4,4,SE,POGR,0-1,28,64,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,0.5,1.9,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,10,11.8,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,4.5,6.5,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,9,9.8,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,0,4,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,0,5.1,,6/19/2019,AS
A01W,A01W6,6,SW,ACPE,0-1,41,43.5,,6/19/2019,AS
A01W,A01W6,6,SW,ACPE,0-1,57,61.2,,6/19/2019,AS
A01W,A01W6,6,SW,ACPE,0-1,34,37.8,,6/19/2019,AS
A01W,A01W6,6,SW,ACSA,0-1,10.8,11,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,4,5.6,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,4.5,5.4,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,3,5.3,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,4,4.2,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,4.5,5.1,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,4.2,4.6,,6/19/2019,AS
A01W,A01W6,6,SW,ACPE,0-1,15.2,16.5,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,6,6.3,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,4.5,5,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,4.4,4.7,,6/19/2019,AS
A01W,A01W6,6,SW,ACPE,0-1,7.8,8.5,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,6.5,7.2,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,4,4.1,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,7,8.2,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,3.6,4,,6/19/2019,AS
A01W,A01W6,6,SW,ACPE,0-1,21,23.5,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,4.3,5.1,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,7,7.8,,6/19/2019,AS
A01W,A01W6,6,SW,VBAC,0-1,9.2,10.4,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,9.8,10,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,5.1,5.5,,6/19/2019,AS
A01W,A01W6,6,SW,ACPE,0-1,11.1,12.8,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,0,5.5,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,0,2,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,0,5.1,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,5.5,6.9,,6/19/2019,AS
A01W,A01W6,6,SW,ACRU,0-1,2.1,4,,6/19/2019,AS
A01W,A01W8,8,NW,FAGR,0-1,121.5,127.2,,6/19/2019,AS
A01W,A01W8,8,NW,FAGR,0-1,89.5,91.6,,6/19/2019,AS
A01W,A01W8,8,NW,FAGR,0-1,60.5,61.6,,6/19/2019,AS
A01W,A01W8,8,NW,FAGR,0-1,91.2,92,,6/19/2019,AS
A01W,A01W8,8,NW,FAGR,0-1,73.5,75.8,,6/19/2019,AS
A01W,A01W8,8,NW,FAGR,0-1,200,205.5,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,3.9,4.3,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,6.5,7.5,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,6.5,7.5,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,5.9,6.3,,6/19/2019,AS
A01W,A01W8,8,NW,ACSA,0-1,5.8,6.4,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,5,5.4,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,10,10.6,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,3.5,4.5,,6/19/2019,AS
A01W,A01W8,8,NW,ACPE,0-1,80.5,83.7,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,11.5,12.4,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,9.3,10.9,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,11.8,12.4,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,6.5,7.6,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,9.8,10.1,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,7.7,7.8,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,10,10.5,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,8,8.5,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,8.3,8.6,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,4.8,5.4,,6/19/2019,AS
A01W,A01W8,8,NW,ACPE,0-1,30.5,32.7,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,14.8,15.5,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,12.6,13,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,14,14.4,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,8.7,9,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,11.5,12,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,10,10.3,,6/19/2019,AS
A01W,A01W8,8,NW,ACSA,0-1,23.2,23.4,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,12,13.3,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,18.8,19.3,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,5.2,6,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,9.2,10,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,7.5,7.8,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,6.8,7.4,,6/19/2019,AS
A01W,A01W8,8,NW,ACPE,0-1,9,10.2,,6/19/2019,AS
A01W,A01W8,8,NW,ACRU,0-1,6.5,7.3,,6/19/2019,AS
A02E,A02E2,2,NE,ACPE,0-1,12,14.8,,6/19/2019,MG
A02E,A02E2,2,NE,ACPE,0-1,3,5.3,,6/19/2019,MG
A02E,A02E2,2,NE,ACPE,0-1,21.1,23.3,,6/19/2019,MG
A02E,A02E2,2,NE,ACSA,0-1,4.5,5.1,,6/19/2019,MG
A02E,A02E2,2,NE,ACPE,0-1,13,14.4,,6/19/2019,MG
A02E,A02E2,2,NE,ACPE,0-1,13.4,14.5,,6/19/2019,MG
A02E,A02E2,2,NE,ACPE,0-1,45.5,47,,6/19/2019,MG
A02E,A02E2,2,NE,ACPE,0-1,38.1,40,,6/19/2019,MG
A02E,A02E2,2,NE,ACPE,0-1,14,15,,6/19/2019,MG
A02E,A02E2,2,NE,FAGR,0-1,175.7,176.3,,6/19/2019,MG
A02E,A02E2,2,NE,ACPE,0-1,62.4,64.6,,6/19/2019,MG
A02E,A02E2,2,NE,ACPE,0-1,46.2,48.7,,6/19/2019,MG
A02E,A02E2,2,NE,ACPE,0-1,40,41.9,,6/19/2019,MG
A02E,A02E2,2,NE,ACRU,0-1,0,4,,6/19/2019,MG
A02E,A02E2,2,NE,ACRU,0-1,0,3.3,,6/19/2019,MG
A02E,A02E2,2,NE,ACRU,0-1,6,6.2,,6/19/2019,MG
A02E,A02E2,2,NE,ACSA,0-1,9,9.5,,6/19/2019,MG
A02E,A02E4,4,SE,ACSA,0-1,13,13.6,,6/19/2019,MG
A02E,A02E4,4,SE,ACPE,0-1,46.4,50.2,,6/19/2019,MG
A02E,A02E4,4,SE,ACRU,0-1,0,7.1,,6/19/2019,MG
A02E,A02E4,4,SE,ACRU,0-1,12,12.3,,6/19/2019,MG
A02E,A02E4,4,SE,ACRU,0-1,0,3.2,,6/19/2019,MG
A02E,A02E4,4,SE,ACPE,0-1,10.4,13.4,,6/19/2019,MG
A02E,A02E4,4,SE,ACRU,0-1,0,5,,6/19/2019,MG
A02E,A02E4,4,SE,ACRU,0-1,0,4.7,,6/19/2019,MG
A02E,A02E4,4,SE,ACSA,0-1,14.8,17,,6/19/2019,MG
A02E,A02E4,4,SE,ACSA,0-1,0,6.2,,6/19/2019,MG
A02E,A02E4,4,SE,ACRU,0-1,0,4.7,,6/19/2019,MG
A02E,A02E4,4,SE,ACPE,0-1,1.5,7.6,,6/19/2019,MG
A02E,A02E4,4,SE,ACRU,0-1,0,6,,6/19/2019,MG
A02E,A02E4,4,SE,ACPE,0-1,14.8,17.1,,6/19/2019,MG
A02E,A02E6,6,SW,ACSA,0-1,12,12.6,,6/19/2019,MG
A02E,A02E6,6,SW,ACPE,0-1,31.9,35,,6/19/2019,MG
A02E,A02E6,6,SW,ACPE,0-1,24.3,25.8,,6/19/2019,MG
A02E,A02E6,6,SW,FAGR,0-1,76.6,79.5,,6/19/2019,MG
A02E,A02E6,6,SW,ACSA,0-1,11.6,12.4,,6/19/2019,MG
A02E,A02E6,6,SW,ACPE,0-1,10.4,12.7,,6/19/2019,MG
A02E,A02E6,6,SW,ACRU,0-1,0,6.2,,6/19/2019,MG
A02E,A02E6,6,SW,ACRU,0-1,0,4.9,,6/19/2019,MG
A02E,A02E6,6,SW,ACPE,0-1,188.8,191.6,,6/19/2019,MG
A02E,A02E6,6,SW,ACPE,0-1,90,91.7,,6/19/2019,MG
A02E,A02E6,6,SW,ACPE,0-1,6.6,9.2,,6/19/2019,MG
A02E,A02E6,6,SW,ACPE,0-1,5.6,8.7,,6/19/2019,MG
A02E,A02E6,6,SW,ACPE,0-1,8.2,10.5,,6/19/2019,MG
A02E,A02E6,6,SW,ACRU,0-1,0,5.5,,6/19/2019,MG
A02E,A02E6,6,SW,ACRU,0-1,0,4.2,,6/19/2019,MG
A02E,A02E6,6,SW,FAGR,0-1,105.6,109.2,,6/19/2019,MG
A02E,A02E6,6,SW,ACSA,0-1,24,24.8,,6/19/2019,MG
A02E,A02E6,6,SW,ACSA,0-1,10.5,12.5,,6/19/2019,MG
A02E,A02E6,6,SW,ACSA,0-1,12.4,13.6,,6/19/2019,MG
A02E,A02E6,6,SW,ACRU,0-1,0,4.7,,6/19/2019,MG
A02E,A02E8,8,SW,ACPE,0-1,0,2,,6/19/2019,MG
A02E,A02E8,8,SW,ACPE,0-1,0,2.2,,6/19/2019,MG
A02W,A02W2,2,NE,ACSA,0-1,8.6,9.2,,6/19/2019,MG
A02W,A02W2,2,NE,ACPE,0-1,43.6,46.1,,6/19/2019,MG
A02W,A02W2,2,NE,ACPE,0-1,52.2,54.3,,6/19/2019,MG
A02W,A02W2,2,NE,ACPE,0-1,46.1,47.9,,6/19/2019,MG
A02W,A02W2,2,NE,ACPE,0-1,8.7,10.4,,6/19/2019,MG
A02W,A02W2,2,NE,ACPE,0-1,41.2,43.7,,6/19/2019,MG
A02W,A02W2,2,NE,ACPE,2-Jan,218,229,,6/19/2019,MG
A02W,A02W2,2,NE,ACPE,0-1,4,10.6,,6/19/2019,MG
A02W,A02W2,2,NE,ACPE,0-1,49.5,51.3,,6/19/2019,MG
A02W,A02W2,2,NE,ACPE,0-1,46,48.4,,6/19/2019,MG
A02W,A02W2,2,NE,ACSA,0-1,14,15,,6/19/2019,MG
A02W,A02W2,2,NE,ACPE,0-1,0,3.9,,6/19/2019,MG
A02W,A02W2,2,NE,ACPE,0-1,16,17.6,,6/19/2019,MG
A02W,A02W2,2,NE,ACPE,2-Jan,219.5,228.2,,6/19/2019,MG
A02W,A02W2,2,NE,ACPE,0-1,46,49.5,,6/19/2019,MG
A02W,A02W2,2,NE,ACPE,0-1,61,65.2,,6/19/2019,MG
A02W,A02W2,2,NE,ACPE,0-1,6.8,7.8,,6/19/2019,MG
A02W,A02W2,2,NE,ACPE,0-1,2.5,4.8,,6/19/2019,MG
A02W,A02W2,2,NE,ACSA,0-1,11,12.1,,6/19/2019,MG
A02W,A02W2,2,NE,ACSA,0-1,12,12.2,,6/19/2019,MG
A02W,A02W4,4,SE,ACPE,0-1,90.6,92.4,,6/19/2019,MG
A02W,A02W4,4,SE,FAGR,0-1,20.1,23.3,,6/19/2019,MG
A02W,A02W4,4,SE,ACPE,0-1,0,15.4,,6/19/2019,MG
A02W,A02W4,4,SE,ACPE,0-1,29.8,43.2,,6/19/2019,MG
A02W,A02W4,4,SE,ACPE,0-1,11,18.9,,6/19/2019,MG
A02W,A02W4,4,SE,ACPE,0-1,104.6,110.1,,6/19/2019,MG
A02W,A02W4,4,SE,ACPE,0-1,140.6,142.8,,6/19/2019,MG
A02W,A02W4,4,SE,ACPE,0-1,165.4,166.4,,6/19/2019,MG
A02W,A02W4,4,SE,ACPE,0-1,16,18.5,,6/19/2019,MG
A02W,A02W4,4,SE,ACPE,0-1,37.5,38.9,,6/19/2019,MG
A02W,A02W4,4,SE,ACPE,0-1,71,74,,6/19/2019,MG
A02W,A02W4,4,SE,ACPE,0-1,19.5,24.2,,6/19/2019,MG
A02W,A02W4,4,SE,ACPE,0-1,34.8,38.7,,6/19/2019,MG
A02W,A02W4,4,SE,ACPE,0-1,18.1,21,,6/19/2019,MG
A02W,A02W4,4,SE,ACPE,0-1,111,112.8,,6/19/2019,MG
A02W,A02W4,4,SE,ACPE,0-1,16.8,19.4,,6/19/2019,MG
A02W,A02W4,4,SE,ACPE,0-1,39,41.9,,6/19/2019,MG
A02W,A02W6,6,SW,ACPE,0-1,48.8,71.4,,6/19/2019,MG
A02W,A02W6,6,SW,ACRU,0-1,9,9.8,,6/19/2019,MG
A02W,A02W6,6,SW,ACSA,0-1,12.8,13.4,,6/19/2019,MG
A02W,A02W6,6,SW,ACPE,0-1,95.5,107.4,,6/19/2019,MG
A02W,A02W6,6,SW,ACPE,0-1,2.5,6.9,,6/19/2019,MG
A02W,A02W6,6,SW,ACPE,0-1,0,3.5,,6/19/2019,MG
A02W,A02W6,6,SW,ACPE,0-1,47.1,49.7,,6/19/2019,MG
A02W,A02W6,6,SW,ACSA,0-1,15.8,16.6,,6/19/2019,MG
A02W,A02W6,6,SW,ACSA,0-1,12.5,13.9,,6/19/2019,MG
A02W,A02W6,6,SW,VBAC,0-1,6.2,8.2,,6/19/2019,MG
A02W,A02W6,6,SW,ACPE,0-1,83.9,93.8,,6/19/2019,MG
A02W,A02W6,6,SW,FRAM,0-1,21.5,26.6,,6/19/2019,MG
A02W,A02W6,6,SW,ACSA,0-1,14.7,16.6,,6/19/2019,MG
A02W,A02W6,6,SW,ACPE,0-1,99.7,103.3,,6/19/2019,MG
A02W,A02W6,6,SW,ACRU,0-1,7.3,10,,6/19/2019,MG
A02W,A02W6,6,SW,ACRU,0-1,0,5.2,,6/19/2019,MG
A02W,A02W6,6,SW,ACRU,0-1,0,6,,6/19/2019,MG
A02W,A02W6,6,SW,ACRU,0-1,10.5,11.2,,6/19/2019,MG
A02W,A02W6,6,SW,ACRU,0-1,5.4,6.3,,6/19/2019,MG
A02W,A02W6,6,SW,FAGR,0-1,98,119.8,,6/19/2019,MG
A02W,A02W8,8,NW,ACSA,0-1,13,14.2,,6/19/2019,MG
A02W,A02W8,8,NW,ACPE,0-1,11,14.4,,6/19/2019,MG
A02W,A02W8,8,NW,ACPE,0-1,44,48.4,,6/19/2019,MG
A02W,A02W8,8,NW,ACPE,0-1,48.7,60.2,,6/19/2019,MG
A02W,A02W8,8,NW,ACPE,0-1,19.5,22.5,,6/19/2019,MG
A02W,A02W8,8,NW,ACSA,0-1,17,26.8,,6/19/2019,MG
A02W,A02W8,8,NW,ACPE,0-1,0,4.6,,6/19/2019,MG
A02W,A02W8,8,NW,ACPE,0-1,0,5,,6/19/2019,MG
A02W,A02W8,8,NW,ACPE,0-1,43.6,52.7,,6/19/2019,MG
A02W,A02W8,8,NW,ACPE,0-1,66.2,69.6,,6/19/2019,MG
