"","subplot_id","replicate","plot","subplot","year","mean.height","height.2","mean.height.var","mean.height.rms","transect.length","mode.el","max.el","mode.2","max.can.ht","mean.max.ht","mean.vai","mean.peak.vai","deep.gaps","deep.gap.fraction","porosity","std.std","mean.std","rugosity","top.rugosity","mean.return.ht","sd.return.ht","sky.fraction","cover.fraction","max.ht","scan.density","rumple","clumping.index","enl"
"44","A04W","A",4,"W",2018,18.13339822,5.405027477,29.21432202,18.90248912,40,17.725,5.72724811,6.75956113,29.24,22.81185,7.880282918,3.231287314,0,0,0.68,569.2615274,17.46924677,16.25075213,4.984646142,14.22333266,6.108335826,0.124774712,99.87522529,29.24,360.775,5.375,0.890519107,22.21391986
"45","B01E","B",1,"E",2018,13.12893518,4.703485867,22.1227793,13.92618572,40,12.775,4.947717237,7.202163137,28.242,17.827025,7.246765885,2.750892555,0,0,0.718103448,768.7851385,18.93309514,20.25643224,4.884027544,8.987778441,5.543060649,3.146939787,96.85306021,28.242,302.8,4.35,0.881375753,19.86420212
"46","B01E","B",1,"E",2018,13.24847607,5.797651464,33.6127625,14.43241358,40,13.7,6.947290963,8.10571182,28.839,19.95885,7.479349964,3.113416742,0,0,0.746666667,1578.134736,30.64663938,25.27683191,7.485262493,7.994210323,6.416802149,1.399860014,98.60013999,28.839,250.15,6.1,0.885709928,20.17816594
"47","B01W","B",1,"W",2018,6.376654327,4.468450512,19.96704998,7.760762165,50,5.34,7.086283645,5.560832415,29.693,11.63028,6.819228257,3.485364588,0,0,0.810322581,897.7703788,15.56770338,25.60111307,8.76773152,4.192251316,3.920059913,5.17671685,94.82328315,29.693,248.54,8.12,0.805750795,14.61054767
"48","B01W","B",1,"W",2018,7.352709477,5.04529178,25.45496914,8.881493769,40,7,7.80294736,7.421382828,29.138,15.092275,7.302859402,3.359504221,0,0,0.7575,1575.376623,25.42673927,30.47716445,9.869400013,4.472576406,4.937918114,1.829475834,98.17052417,29.138,293.925,9.05,0.786025172,17.18015825
"49","B03E","B",3,"E",2018,8.776203265,3.883782316,15.08376508,9.577495221,40,7.375,7.894763108,5.8515284,21.253,15.1934,7.358335388,3.348539465,0,0,0.651136364,595.3134323,19.52280655,14.63466627,6.138718102,5.986769131,5.038435617,1.222826087,98.77717391,25.732,349.725,4.925,0.911384902,17.41803733
"50","B03E","B",3,"E",2018,6.752296392,4.655084475,21.66981147,8.168327414,40,6.675,7.495230493,6.870178962,27.319,13.025875,6.919200336,3.512751416,0,0,0.783035714,865.309222,17.81427639,23.40856208,8.331231784,4.670525334,5.157751962,3.000348068,96.99965193,27.319,359.25,6.7,0.734518562,13.09580838
"51","B03W","B",3,"W",2018,10.08463603,6.671964893,44.51511553,12.0458342,40,9.75,7.015278121,8.154753215,29.86,16.9375,7.411825648,3.409543594,0,0,0.774193548,1316.83037,23.7084672,27.47251267,9.22896502,6.549185228,6.495996378,1.914696006,98.08530399,29.86,350.05,8.1,0.895031327,21.05263158
"52","B03W","B",3,"W",2018,9.181557663,5.902177034,34.83569374,10.86928651,35,8.914285714,6.168687952,8.290219001,29.612,15.54305714,6.45063942,2.831060623,5,0.142857143,0.765898618,1840.308938,29.52398528,31.12303377,9.859859502,6.256012028,6.18592775,1.29204982,98.70795018,29.612,214.9,6.942857143,0.902236939,21.15278689
"53","B04E","B",4,"E",2018,10.10022494,3.807450921,14.49668251,10.7772357,40,10.875,6.768167165,5.756545884,28.129,16.567275,7.503832374,3.25169203,0,0,0.703448276,596.3527485,17.8135136,16.70423544,6.694252736,6.636883708,4.551457984,1.53721135,98.46278865,28.129,369.3,6.175,0.879233312,19.79524925
"54","B04E","B",4,"E",2018,9.340068583,4.225679221,17.85636488,10.22970366,40,8.775,8,5.191153718,26.499,14.648475,7.349248241,3.673932171,0,0,0.750925926,261.0035165,11.46731604,11.37999031,7.23123487,6.304981025,4.295020722,1.531359906,98.46864009,26.499,341.325,7.05,0.894159586,17.36525078
"55","B04W","B",4,"W",2018,8.865066101,3.756589385,14.11196381,9.609815903,40,8.325,6.478078205,5.220214653,26.674,14.023625,7.325080525,3.33027662,0,0,0.741071429,625.4496958,16.15115835,19.0942342,7.161800696,6.081136581,4.570233833,2.030923527,97.96907647,26.674,299.25,7.775,0.875750053,17.97776828
"56","B04W","B",4,"W",2018,10.15580632,5.168458821,26.71296659,11.36598189,40,9.25,8,6.811566332,27.022,15.120025,7.695118908,3.422052423,0,0,0.736607143,836.8790824,18.86800917,21.92891498,6.906779703,6.267875197,4.8762136,1.0595201,98.9404799,27.022,321.025,5.05,0.916374274,20.01034721
"57","C01E","C",1,"E",2018,10.44706972,4.138453083,17.12679392,11.21783801,40,9.575,8,4.396312557,23.074,14.29385,6.697464574,3.317245303,0,0,0.701041667,138.4394058,8.856560286,7.746014829,6.040117368,7.883850495,4.360390242,5.326633166,94.67336683,23.074,298.625,3.9,0.920387967,18.47252747
"58","C01E","C",1,"E",2018,10.50761175,3.519193125,12.38472025,11.06729447,40,10.75,6.35785673,4.617414084,20.978,14.34035,6.558028393,3.006371496,1,0.025,0.678409091,190.6071158,10.64240199,8.794679963,4.276328695,8.033433457,4.241408717,10.34373765,89.65626235,20.978,316.5,4,0.906598779,16.34135891
"59","C01W","C",1,"W",2018,9.184622303,3.674233744,13.49999361,9.875210409,40,9.375,7.594145313,4.7754044,19.693,12.5718,6.632878731,3.173789166,0,0,0.728571429,186.9144345,9.669308461,9.665345746,4.954637197,6.785650582,4.478671643,4.900181488,95.09981851,19.693,289.4,3.975,0.941718352,16.4402277
"60","C01W","C",1,"W",2018,10.62943989,4.310222923,18.57802165,11.4498281,40,10.85,8,5.366324245,20.07,14.055275,6.908396809,3.41757664,0,0,0.7,150.6301137,8.84527126,8.508307119,4.611296703,8.093741671,4.680446966,5.528375734,94.47162427,20.07,306.725,3.975,0.931998441,16.57202505
"61","C02W","C",2,"W",2018,13.98325124,4.663978521,21.75269565,14.72209881,40,13.6,5.909848788,7.199715094,26.441,21.1347,7.286908576,2.897497889,0,0,0.663888889,972.8405835,23.66801916,20.31416876,6.066658757,10.61644801,6.043893722,1.56474533,98.43525467,26.441,313.275,6.275,0.889703518,20.05311216
"62","C02W","C",2,"W",2018,12.06811091,6.878374123,47.31203058,13.80527906,20,10.65,7.740692652,6.853927034,27.515,16.2252,7.111742481,3.575371205,0,0,0.789655172,926.5782266,16.48665601,25.58844271,8.913600942,8.576082936,6.539659523,3.606333073,96.39366693,28.04,511.75,4.85,0.933504552,20.33333333
