"","subplot_id","replicate","plot","subplot","year","mean.height","height.2","mean.height.var","mean.height.rms","transect.length","mode.el","max.el","mode.2","max.can.ht","mean.max.ht","mean.vai","mean.peak.vai","deep.gaps","deep.gap.fraction","porosity","std.std","mean.std","rugosity","top.rugosity","mean.return.ht","sd.return.ht","sky.fraction","cover.fraction","max.ht","scan.density","rumple","clumping.index","enl"
"1","D04E","D",4,"E",2018,6.086406402,2.827438826,7.994410317,6.696184955,40,6.025,6.792316303,3.49716002,13.902,8.01835,5.347128565,2.777751386,2,0.05,0.685,37.99405537,3.874608127,4.793898959,3.538493172,4.225073018,2.833886291,26.09965404,73.90034596,13.902,556.55,4.075,0.879874844,10.67254258
"2","D04E","D",4,"E",2018,7.71899802,3.813703988,14.54433811,8.588577303,40,7.275,7.39928889,4.373507071,16.126,10.190725,5.395083572,2.762458994,2,0.05,0.679411765,35.42160822,4.003226895,4.404064333,4.31092324,6.40048612,3.722275627,21.17557325,78.82442675,16.126,524.55,3.95,0.946441668,14.06867969
"3","D04W","D",4,"W",2018,5.725248973,2.941919391,8.654889701,6.420046204,40,5.25,7.954832631,3.19253938,15.329,7.801475,4.459416801,2.751225789,3,0.075,0.7375,17.54954913,2.449985425,3.398105435,4.020758743,4.577323261,2.698637725,36.3406167,63.6593833,15.329,612.25,4.3,0.928621666,11.70149254
"4","D04W","D",4,"W",2018,5.303395748,3.031855989,9.19215074,6.090020807,40,4.825,7.664074078,3.433526258,16.023,7.4281,5.308056173,2.762363264,3,0.075,0.716176471,30.51025399,3.257474036,4.460842621,4.387451756,4.223953213,2.995107427,21.79971233,78.20028767,16.023,556.325,3.4,0.848257792,11.12907081
"5","D02E","D",2,"E",2018,7.731466198,3.434760051,11.79757661,8.442642167,40,8.05,8,4.877735919,20.191,10.86185,6.860819209,3.448860324,0,0,0.711904762,181.57451,9.107011872,9.931608366,4.796144951,4.968361602,3.535458866,7.197648934,92.80235107,20.191,502.025,4.225,0.883082452,14.13906325
"6","D02E","D",2,"E",2018,9.475778604,4.935245851,24.35665161,10.65542657,40,8.125,6.593652824,5.831776349,21.381,14.802125,6.56054109,2.939483774,0,0,0.663636364,400.912021,14.99007371,13.2744006,6.083678607,6.496054489,5.111977505,6.790726366,93.20927363,21.381,486.45,4.45,0.960559501,19.37549757
"7","D02W","D",2,"W",2018,9.73886634,4.257061492,18.12257255,10.60731002,40,9.6,6.557997635,6.274899121,19.965,14.263625,7.260608333,3.232762112,0,0,0.653571429,376.8544828,15.45742222,11.7440445,5.361661681,6.475152297,4.697420343,1.5625,98.4375,19.965,481.725,4,0.962898998,18.59077936
"8","D02W","D",2,"W",2018,7.898993322,3.951327561,15.6129895,8.810037472,40,8.15,8,5.627542161,20.206,13.150425,6.837169019,3.177313388,0,0,0.682142857,356.2608504,14.1241112,12.52079603,5.598183304,5.071916184,4.168516221,4.464373224,95.53562678,20.206,510.275,6.4,0.937296952,17.11620648
"9","D01E","D",1,"E",2018,9.931224452,2.476009105,6.13062109,10.22773556,40,9.95,5.489111409,4.056966152,17.692,12.9092,6.879289651,3.185045386,0,0,0.676315789,137.9020147,8.589879728,8.007245526,2.937632312,6.966111234,3.371820826,6.116495253,93.88350475,17.692,505.725,3.575,0.884315488,13.61133603
"10","D01E","D",1,"E",2018,8.506326426,3.678495612,13.53132996,9.24935868,40,8.175,7.813917753,4.645855611,17.863,11.4294,5.34475346,2.656135617,0,0,0.688157895,79.65632158,6.493509676,6.122961185,3.918049795,6.627831256,3.896096671,17.21549864,82.78450136,17.863,533.075,4.35,0.938235952,15.21782715
"11","D01W","D",1,"W",2018,7.636477953,3.928266275,15.43127592,8.565120522,40,7.75,6.54931177,4.939376064,20.114,11.345225,6.484416109,3.130682847,0,0,0.70952381,132.4284234,7.167328926,9.003211618,4.779499622,5.359615929,4.003956829,12.22254816,87.77745184,20.114,511.475,4.475,0.881468857,14.33911368
"12","D01W","D",1,"W",2018,8.601546331,5.579547388,31.13134905,10.21467888,40,8.575,5.868323675,6.523674834,19.039,11.8924,4.640921673,2.309884288,6,0.15,0.72875,219.2593727,10.03417974,10.88919692,6.932012676,8.285281364,5.576607541,37.44493392,62.55506608,19.039,613.025,4.675,0.953703339,16.3220104
"13","D03E","D",3,"E",2018,9.508139541,4.356183826,18.97633752,10.43583474,40,9.475,5.155661716,5.387485499,21.918,13.6298,6.006203432,2.752282908,1,0.025,0.711956522,288.4886118,11.14886155,12.81372303,5.585038853,7.620306057,5.005062939,12.21037324,87.78962676,21.918,515.875,4.4,0.957991875,19.32975502
"14","D03E","D",3,"E",2018,10.70242979,4.506447633,20.30807027,11.59061569,40,11.1,8,5.222240407,20.535,12.706625,5.811488084,2.917579091,1,0.025,0.747727273,139.1835436,7.073779588,9.441672834,5.700426285,7.540733563,4.018389586,27.89287976,72.10712024,20.535,552.775,4.725,0.934844951,16.44993324
"15","D03W","D",3,"W",2018,9.506223097,3.805107541,14.4788434,10.22179778,40,9.225,6.214111613,4.497791481,19.184,12.335975,6.61217901,3.063538595,0,0,0.705,145.6364973,8.347321769,8.715429799,4.888829992,6.577424462,4.284907776,6.711983887,93.28801611,19.184,496.625,4.125,0.941714743,15.94959908
"16","D03W","D",3,"W",2018,8.962656349,4.35742307,18.98713581,9.941914617,40,8.05,8,5.143828765,19.996,13.251725,6.829267062,3.338368203,0,0,0.68452381,284.8847311,11.19763035,12.62924406,5.693065701,6.214515527,4.589599643,4.597197898,95.4028021,19.996,514.025,5.225,0.933788375,16.66864467
"17","C03E","C",3,"E",2018,8.755400695,5.107316687,26.08468374,10.10394022,40,7.775,6.652966606,6.407077417,24.455,15.212825,6.940027869,3.511620186,0,0,0.724,1001.384427,21.63071018,23.09754975,7.236148618,5.495615446,5.555634895,5.395809371,94.60419063,24.455,500.05,5.55,0.866880496,16.66141732
"18","C03E","C",3,"E",2018,10.22171862,4.741287174,22.47980406,11.24283508,40,9.5,7.22816575,5.970010523,26.305,16.5435,6.654539464,2.912906723,0,0,0.718518519,530.639604,16.70935747,15.85676439,6.087867594,8.130105098,5.629686157,6.633077337,93.36692266,26.305,511.2,4.9,0.945046958,21.58243811
"19","C03W","C",3,"W",2018,11.71085416,6.741429612,45.44687322,13.4705162,40,11.375,7.210915064,8.062854047,28.309,17.595175,6.345938511,2.822091114,0,0,0.718103448,569.6346199,16.2645004,17.46713046,8.357154082,8.641409678,6.867723086,8.552696931,91.44730307,28.309,503.475,6.9,0.948876777,23.94826428
"20","C03W","C",3,"W",2018,14.06301489,5.893588608,34.73438668,15.21954056,40,13.525,5.963929705,8.174342285,28.003,21.05945,5.618844951,2.344457901,0,0,0.687931034,1465.052778,29.59892069,24.26842953,7.375002668,10.89369574,7.621101709,12.8040408,87.1959592,28.003,509.925,5.725,0.9248462,22.9660007
"21","C04E","C",4,"E",2018,8.225302696,3.986406737,15.89143867,9.118648866,40,7.5,5.465760539,5.737863446,21.937,14.369,6.309214862,2.584747378,0,0,0.683695652,610.4068315,16.7273852,18.18244802,5.945833262,5.140504401,4.215371651,10.291315,89.708685,21.937,551.075,6.5,0.879219246,16.74530354
"22","C04E","C",4,"E",2018,8.96039331,4.128986637,17.04853064,9.844336729,40,8.125,7.23870241,5.970815776,21.306,14.88385,7.56339801,3.375776159,0,0,0.675,584.1106146,18.58652967,15.44835038,5.022377793,5.401015556,4.631226321,0.796015041,99.20398496,21.306,512.05,5.15,0.886660029,16.55789474
"23","C04W","C",4,"W",2018,8.382126777,4.149824968,17.22104726,9.330089517,40,7.675,7.718051773,4.963391624,23.967,12.6502,7.505188211,3.771303257,0,0,0.758,268.8084208,11.54902205,11.63737558,6.155904892,5.095074078,3.893582986,1.712295162,98.28770484,23.967,509.675,5.675,0.865528014,14.89420142
"24","C04W","C",4,"W",2018,9.995031362,4.202313173,17.659436,10.82213482,40,10.4,8,5.947634738,24.538,16.01805,7.057252444,3.162868737,0,0,0.695192308,508.7670233,16.5394502,15.33667534,5.423982286,6.193334646,4.777496936,4.714031459,95.28596854,24.538,519.85,5.95,0.911473791,19.21763243
"25","C02E","C",2,"E",2018,10.19293852,4.806519325,23.10262802,11.24371193,40,9.65,6.576429648,5.980952673,20.45,14.125425,6.186717078,3.0452135,1,0.025,0.714285714,177.558138,9.759951879,9.072016164,5.071589585,7.786568701,4.790566444,12.60049553,87.39950447,20.45,494.55,4.25,0.956860233,17.69041769
"26","C02E","C",2,"E",2018,8.200978771,3.48767829,12.16389985,8.894709392,40,8.1,7.937967153,4.342987274,18.246,11.339825,6.137447304,3.171082324,0,0,0.719736842,195.4952037,9.652427281,10.11562412,5.010094794,5.198874446,3.977081058,14.07886934,85.92113066,18.246,506.025,4.775,0.895893801,13.72738275
"27","C02W","C",2,"W",2018,10.18255127,4.853501115,23.55647307,11.25397315,40,10.475,7.027762065,6.17267552,21.989,14.4433,6.282299865,2.88748509,1,0.025,0.682608696,201.6761455,10.48282447,9.580529037,5.203142,7.384163197,4.507627058,14.20690945,85.79309055,21.989,534.9,4.875,0.933867302,18.29699571
"28","C02W","C",2,"W",2018,9.837421465,4.337972721,18.81800732,10.72951156,40,9.75,5.592234656,4.791819953,23.047,13.674,7.090884975,3.246985333,0,0,0.715625,136.2725554,8.396950645,8.109486744,6.015430521,7.309741714,4.641351716,2.349524815,97.65047518,23.047,473.625,4.425,0.9331478,18.54416522
"29","A01E","A",1,"E",2018,7.494395187,5.368405775,28.81978057,9.179610301,40,5.875,6.11987398,7.151071284,31.3,18.340475,6.654813307,3.0992482,0,0,0.7765625,2580.162919,32.5599398,38.98734717,10.33494529,5.200080661,6.647533676,3.266942746,96.73305725,31.3,380.45,10.75,0.822005441,18.91674376
"30","A01E","A",1,"E",2018,13.41931127,6.162489888,37.97628162,14.73447622,40,10.825,6.214566307,8.554163778,30.852,23.1098,7.028782437,2.953568196,0,0,0.71171875,3909.77887,44.80626373,43.61396108,7.455458682,11.20387602,8.780840743,3.311171088,96.68882891,30.852,379.9,4.925,0.929850534,25.0526219
"31","A01W","A",1,"W",2018,9.649510526,5.289435861,27.97813173,10.97231661,40,10,7.928852011,7.404087575,27.732,14.5927,7.748527396,3.601425639,0,0,0.754310345,702.7276578,17.81629904,19.62924212,8.03708983,6.095814764,5.122307906,0.477164281,99.52283572,27.732,330.2,7.05,0.918244675,20.49583649
"32","A01W","A",1,"W",2018,10.97016464,6.57743919,43.2627063,12.74855485,40,10.25,7.411659537,8.46637391,29.363,17.406475,7.30817684,3.466353213,0,0,0.728333333,1710.020948,27.81859288,30.59651676,9.613484763,7.59209021,7.076579127,1.748925448,98.25107455,29.363,337.475,9.775,0.924412195,23.10347826
"33","A02E","A",2,"E",2018,6.77800604,4.886173191,23.87468845,8.319806916,40,5.1,6.092517045,6.515464838,29.806,16.838,6.093171938,3.19728607,0,0,0.784677419,2295.623751,32.22589661,35.45582236,10.20176009,4.415493966,5.776467016,5.785401951,94.21459805,29.806,371.75,7.975,0.790244707,16.58269365
"34","A02E","A",2,"E",2018,6.188970415,3.500773323,12.25541386,7.06724826,20,5.2,7.765407665,5.197165219,29.099,12.56,7.346226824,4.159667624,0,0,0.805,770.1797853,17.98746845,21.13364058,8.488437789,4.027596901,4.155691065,1.287899115,98.71210089,29.099,372.85,7.6,0.761035395,13.303207
"35","A02E","A",2,"E",2018,6.978358775,4.944415969,24.44724927,8.480706221,20,4.55,7.920008447,3.979883627,29.536,12.84325,7.120254221,4.125978795,0,0,0.812903226,1462.796475,22.72401607,30.76386791,9.914252186,5.26615765,6.122591847,2.23880597,97.76119403,29.536,308.35,8.4,0.800156823,14.91796009
"36","A02W","A",2,"W",2018,7.708996157,5.793248472,33.56172785,9.555745037,20,5.6,6.465943216,7.903363708,33.574,24.80705,4.937617066,2.744188061,0,0,0.81,3857.050364,47.70841531,39.76125592,8.819132016,6.948562043,8.71294314,12.48781846,87.51218154,33.574,359.3,6.85,0.867598342,19.37458927
"37","A02W","A",2,"W",2018,10.17212253,5.694141095,32.42324281,11.58767265,20,8.3,5.809527005,5.611079266,32.231,15.85775,6.927763133,2.902339788,0,0,0.774242424,959.6791862,21.8541394,21.95622412,7.546311437,7.385214417,6.354085889,3.974358974,96.02564103,32.231,312.15,6.6,0.834015898,17.19674671
"38","A03E","A",3,"E",2018,10.63944666,5.361534141,28.74604834,11.88382188,40,9.8,7.290215378,7.686818554,30.606,17.74345,7.361975804,3.400260471,0,0,0.7546875,1834.910307,29.68940736,30.87797593,8.574543136,7.032208689,6.365641211,1.152757179,98.84724282,30.606,370.975,6.85,0.903763492,21.66945055
"39","A03E","A",3,"E",2018,11.55588793,4.512105636,20.35909727,12.38501779,40,11.225,5.599877042,6.18305169,24.904,17.6314,7.201188479,3.047307547,0,0,0.670192308,514.4850852,18.37948598,13.29208714,5.375892397,8.203644325,5.807635376,2.224919094,97.77508091,24.904,370.925,5.95,0.940704416,21.36353732
"40","A03W","A",3,"W",2018,9.849939179,5.554139582,30.8484665,11.27379957,40,10.025,6.36148036,8.007968788,28.314,15.712275,7.350370006,3.096497108,0,0,0.729310345,1370.918216,23.56289004,28.56060974,8.500702194,7.029777308,6.624115258,1.329336635,98.67066337,28.439,383.775,4.9,0.915447009,21.07652843
"41","A03W","A",3,"W",2018,9.508470255,5.189079329,26.92654428,10.80112898,40,9.275,7.991142122,6.193410477,25.494,13.644925,7.477155928,3.220252029,0,0,0.729807692,257.468871,10.38776343,12.22960514,6.810939724,6.713378583,5.288858259,1.786292149,98.21370785,25.494,386.4,6.2,0.938050679,20.22048656
"42","A04E","A",4,"E",2018,9.628422299,6.032263727,36.38820568,11.3218822,40,7.7,7.104063166,7.763160868,35.05,20.099675,6.511710107,3.300288844,1,0.025,0.788194444,3220.938868,36.48652351,43.47036313,9.8497816,6.932899259,7.079387104,6.2325521,93.7674479,35.05,385.2,5.5,0.909655575,23.0888558
"43","A04E","A",4,"E",2018,13.55758239,6.708896574,45.00929323,15.08946987,40,13.75,8,10.17727484,34.977,23.45065,6.463839101,2.791736828,0,0,0.749305556,3902.806222,40.26579144,47.76475962,9.788355878,10.96652953,8.43633056,5.886283562,94.11371644,34.977,411.675,6.675,0.944903989,28.20190435
