"","subplot_id","replicate","plot","subplot","timestamp","a_par","b_par","fapar","lai_cept"
"1","D01W","D",1,"W",2018-07-25 10:45:00,1275.7,61.8,0.0484439915340597,4.65
"2","D03W","D",3,"W",2018-07-25 10:56:00,1304.6,98.3,0.0753487659052583,4.7
"3","D04W","D",4,"W",2018-07-25 11:07:00,1304.8,345.4,0.26471489883507,2.83
"4","D02W","D",2,"W",2018-07-25 11:17:00,1367.1,58,0.0424255723794894,5.4
"5","C04W","C",4,"W",2018-07-25 11:24:00,1439.2,40.6,0.0282101167315175,6.06
"6","C03W","C",3,"W",2018-07-25 11:34:00,1383.1,43.5,0.0314510881353481,6.29
"7","C02W","C",2,"W",2018-07-25 11:45:00,1464.3,49.5,0.0338045482483098,5.94
"8","C01W","C",1,"W",2018-07-25 11:52:00,1475.4,116,0.0786227463738647,4.99
"9","B04W","B",4,"W",2018-07-25 13:25:00,1708.1,61.7,0.0361220069082606,6.77
"10","B03E","B",3,"E",2018-07-25 13:36:00,1768.2,110.1,0.0622667119104174,6.36
"11","B02W","B",2,"W",2018-07-25 13:45:00,1653.7,96.6,0.0584144645340751,6.73
"12","B01W","B",1,"W",2018-07-25 13:56:00,1599.9,49.6,0.0310019376211013,7.31
"13","A03W","A",3,"W",2018-07-25 14:23:00,1594.4,47.2,0.0296036126442549,6.61
"14","A04W","A",4,"W",2018-07-25 14:35:00,1567.8,44.6,0.0284475060594464,7.25
"15","A02W","A",2,"W",2018-07-25 14:46:00,1620.4,69.9,0.0431374969143421,6.67
"16","A01W","A",1,"W",2018-07-25 15:02:00,1619.5,77.4,0.047792528558197,6.44
"17","B02W","B",2,"W",2019-07-14 12:20:00,1668.9,160.4,0.0961112109772904,5.35
"18","B02E","B",2,"E",2019-07-14 12:23:00,1625.5,116,0.0713626576438019,6.17
"19","B01W","B",1,"W",2019-07-14 12:29:00,1628.3,24,0.014739298655039,7.71
"20","B01E","B",1,"E",2019-07-14 12:32:00,1643.1,58.6,0.0356642931044976,6.54
"21","B03W","B",3,"W",2019-07-14 12:36:00,1638.7,156.9,0.095746628424971,6.07
"22","B03E","B",3,"E",2019-07-14 12:39:00,1675.7,146.3,0.0873067971593961,5.74
"23","B04W","B",4,"W",2019-07-14 12:42:00,1649,130,0.07883565797453,5.75
"24","B04E","B",4,"E",2019-07-14 12:46:00,1651.4,113.8,0.0689112268378346,6.08
"25","C01W","C",1,"W",2019-07-14 13:13:00,1679,125.8,0.0749255509231685,5.29
"26","C01E","C",1,"E",2019-07-14 13:15:00,1652.8,151.7,0.0917836398838335,5.16
"27","C02E","C",2,"E",2019-07-14 13:27:00,1643.6,104.6,0.0636407885130202,5.89
"28","C02W","C",2,"W",2019-07-14 13:31:00,1628.6,177.7,0.109112120839985,5.25
"29","C03W","C",3,"W",2019-07-14 13:34:00,1661.9,155,0.0932667428846501,5.21
"30","C03E","C",3,"E",2019-07-14 13:40:00,1688.3,177.9,0.105372267961855,4.99
"31","C04W","C",4,"W",2019-07-14 13:46:00,1707.5,125.6,0.0735578330893119,5.43
"32","C04E","C",4,"E",2019-07-14 13:50:00,1691.8,234.8,0.138787090672656,4.2
"33","D04E","D",4,"E",2019-07-14 13:57:00,1789,632.5,0.353549468977082,2.97
"34","D04W","D",4,"W",2019-07-14 14:03:00,1718.4,572.7,0.333275139664804,3.35
"35","D02E","D",2,"E",2019-07-14 14:09:00,1712.2,358.1,0.20914612778881,3.83
"36","D02W","D",2,"W",2019-07-14 14:12:00,1733.8,451,0.260122274772177,3.1
"37","D03W","D",3,"W",2019-07-14 14:18:00,1744.8,284.6,0.163113250802384,4.49
"38","D03E","D",3,"E",2019-07-14 14:20:00,1700.3,321.8,0.189260718696701,4.04
"39","D01E","D",1,"E",2019-07-14 14:29:00,1662,190.2,0.114440433212996,4.66
"40","D01W","D",1,"W",2019-07-14 14:31:00,1722.3,284,0.164895778900308,4.61
"41","A03E","A",3,"E",2019-08-09 12:45:00,1555.7,78.5,0.0504596001799833,5.42
"42","A03W","A",3,"W",2019-08-09 12:50:00,1525.3,78,0.0511374811512489,5.43
"43","A01E","A",1,"E",2019-08-09 13:06:00,1624,202.3,0.124568965517241,4.59
"44","A01W","A",1,"W",2019-08-10 11:45:00,1436.7,53.2,0.0370293032644254,6.07
"45","A02W","A",2,"W",2019-08-10 12:01:00,1512.5,40.5,0.0267768595041322,6.15
"46","A02E","A",2,"E",2019-08-10 12:05:00,1461,30.5,0.0208761122518823,7.2
"47","A04E","A",4,"E",2019-08-10 12:16:00,1483.8,52.2,0.0351799433885968,6.62
"48","A04W","A",4,"W",2019-08-10 12:21:00,1421.1,28.7,0.0201956231088593,6.48
