"","subplot_id","replicate","plot","subplot","year","species","bagtare_g","bagmass_g"
"106","A03W","A",3,"W",2018,"SWD",7.3,32.4
"107","A03W","A",3,"W",2018,"MISC",7.2,12
"108","A03W","A",3,"W",2018,"BEPA",6.9,8
"109","A03W","A",3,"W",2018,"FAGR",22.5,58.7
"110","A03W","A",3,"W",2018,"POGR",22,109.5
"111","A03W","A",3,"W",2018,"ACPE",15.2,25
"112","A03W","A",3,"W",2018,"ACRU",15.4,33.6
"113","B01W","B",1,"W",2018,"QURU",20.8,49.5
"114","B01W","B",1,"W",2018,"POGR",21.8,104.6
"115","B01W","B",1,"W",2018,"FAGR",21.6,59.2
"116","B01W","B",1,"W",2018,"ACPE",21.4,26.2
"117","B01W","B",1,"W",2018,"POTR",6.9,9.2
"118","B01W","B",1,"W",2018,"BEPA",6.9,7.6
"119","B01W","B",1,"W",2018,"AMEL",6.9,7.7
"120","B01W","B",1,"W",2018,"ACRU",21.9,107.4
"121","B01W","B",1,"W",2018,"MISC",6.9,13.9
"122","B01W","B",1,"W",2018,"CWD",7,13.8
"123","B02W","B",2,"W",2018,"MISC",0,0.1
"124","B02W","B",2,"W",2018,"ACRU",21.4,69.6
"125","B02W","B",2,"W",2018,"POGR",21.6,131.9
"126","B02W","B",2,"W",2018,"ACSA",15.1,28.5
"127","B02W","B",2,"W",2018,"QURU",21.4,28.9
"128","B02W","B",2,"W",2018,"GAFR",21.1,63.8
"129","B02W","B",2,"W",2018,"BEPA",7,10.2
"130","B02W","B",2,"W",2018,"POTR",7,8.1
"131","B02W","B",2,"W",2018,"MISC",6.9,12.7
"132","B02W","B",2,"W",2018,"CWD",7,21.4
"133","B02E","B",2,"E",2018,"ACRU",21.5,94.7
"134","B02E","B",2,"E",2018,"POGR",21.7,126.5
"135","B02E","B",2,"E",2018,"QURU",15,27
"136","B02E","B",2,"E",2018,"ACSA",15,14.5
"137","B02E","B",2,"E",2018,"FAGR",21.4,62
"138","B02E","B",2,"E",2018,"BEPA",6.9,27.8
"139","B02E","B",2,"E",2018,"POTR",6.9,8
"140","B02E","B",2,"E",2018,"CWD",6.9,19.3
"141","B02E","B",2,"E",2018,"MISC",6.9,12.4
"142","B03W","B",3,"W",2018,"QURU",15.4,20.7
"143","B03W","B",3,"W",2018,"AMEL",7,8.2
"144","B03W","B",3,"W",2018,"POTR",6.9,7.8
"145","B03W","B",3,"W",2018,"ACPE",7,10.2
"146","B03W","B",3,"W",2018,"BEPA",7,12.1
"147","B03W","B",3,"W",2018,"ACRU",21,72.3
"148","B03W","B",3,"W",2018,"FAGR",21,32.4
"149","B03W","B",3,"W",2018,"POGR",20.8,116.5
"150","B03W","B",3,"W",2018,"CWD",7,116.3
"151","B03W","B",3,"W",2018,"MISC",7,11.7
"152","B01E","B",1,"E",2018,"ACRU",22.4,95.4
"153","B01E","B",1,"E",2018,"POGR",22.2,127.2
"154","B01E","B",1,"E",2018,"QURU",22.3,67.1
"155","B01E","B",1,"E",2018,"FAGR",22.1,34.2
"156","B01E","B",1,"E",2018,"POTR",6.9,7.1
"157","B01E","B",1,"E",2018,"BEPA",6.9,7.1
"158","B01E","B",1,"E",2018,"ACSA",6.9,11.7
"159","B01E","B",1,"E",2018,"AMEL",6.9,7.5
"160","B01E","B",1,"E",2018,"MISC",6.9,9.7
"161","B01E","B",1,"E",2018,"CWD",6.9,23.1
"162","B03E","B",3,"E",2018,"BEPA",7,9.8
"163","B03E","B",3,"E",2018,"ACRU",21.1,138.8
"164","B03E","B",3,"E",2018,"QURU",15.4,34.4
"165","B03E","B",3,"E",2018,"AMEL",7,10.2
"166","B03E","B",3,"E",2018,"FAGR",20.5,38.1
"167","B03E","B",3,"E",2018,"POGR",20.4,87.4
"168","B03E","B",3,"E",2018,"ACPE",7,7.7
"169","B03E","B",3,"E",2018,"POTR",7,27.4
"170","B03E","B",3,"E",2018,"MISC",6.9,12.4
"171","B03E","B",3,"E",2018,"CWD",7,15.7
"172","B04W","B",4,"W",2018,"POGR",22,135
"173","B04W","B",4,"W",2018,"ACRU",22.1,120.3
"174","B04W","B",4,"W",2018,"POTR",6.9,12.4
"175","B04W","B",4,"W",2018,"FAGR",22.3,40.2
"176","B04W","B",4,"W",2018,"AMEL",15.2,16.7
"177","B04W","B",4,"W",2018,"ACPE",15.3,16.1
"178","B04W","B",4,"W",2018,"BEPA",15.2,35.8
"179","B04W","B",4,"W",2018,"QURU",15.4,37.2
"180","B04W","B",4,"W",2018,"ACSA",7,11
"181","B04W","B",4,"W",2018,"MISC",7,12.2
"182","B04W","B",4,"W",2018,"CWD",6.9,21.9
"183","B04E","B",4,"E",2018,"POGR",22.1,175.8
"184","B04E","B",4,"E",2018,"ACRU",22.1,104.9
"185","B04E","B",4,"E",2018,"ACSA",15.4,15.5
"186","B04E","B",4,"E",2018,"ACPE",15.4,16
"187","B04E","B",4,"E",2018,"QURU",22.2,40.7
"188","B04E","B",4,"E",2018,"FAGR",22.2,43.8
"189","B04E","B",4,"E",2018,"AMEL",8.4,10.1
"190","B04E","B",4,"E",2018,"POTR",8.4,10.8
"191","B04E","B",4,"E",2018,"BEPA",8.4,10
"192","B04E","B",4,"E",2018,"MISC",8.4,13.5
"193","B04E","B",4,"E",2018,"CWD",8.4,38
"194","C01W","C",1,"W",2018,"POGR",22.1,65.9
"195","C01W","C",1,"W",2018,"BEPA",8.4,11.7
"196","C01W","C",1,"W",2018,"FAGR",15.1,21
"197","C01W","C",1,"W",2018,"QURU",22,104.2
"198","C01W","C",1,"W",2018,"QURU",22.1,83.2
"199","C01W","C",1,"W",2018,"ACRU",22.2,35.7
"200","C01W","C",1,"W",2018,"PIRE",8.4,9.5
"201","C01W","C",1,"W",2018,"PIST",8.5,11.2
"202","C01W","C",1,"W",2018,"MISC",8.5,28.5
"203","C01W","C",1,"W",2018,"CWD",8.5,10.5
"204","C01E","C",1,"E",2018,"POGR",22,90.9
"205","C01E","C",1,"E",2018,"QURU",22.1,111.8
"206","C01E","C",1,"E",2018,"QURU",22.2,42.3
"207","C01E","C",1,"E",2018,"ACRU",22,39
"208","C01E","C",1,"E",2018,"BEPA",8.4,17.9
"209","C01E","C",1,"E",2018,"FAGR",15.3,28.4
"210","C01E","C",1,"E",2018,"PIRE",8.3,11.6
"211","C01E","C",1,"E",2018,"POTR",8.4,8.5
"212","C01E","C",1,"E",2018,"PIST",8.4,13.1
"213","C01E","C",1,"E",2018,"MISC",8.5,11
"214","C01E","C",1,"E",2018,"CWD",8.5,33.4
"215","C02W","C",2,"W",2018,"PIRE",0,0.5
"216","C02W","C",2,"W",2018,"PIST",0,0.2
"217","C02W","C",2,"W",2018,"BEPA",0,0.76
"218","C02W","C",2,"W",2018,"POGR",0,188
"219","C02W","C",2,"W",2018,"ACRU",0,49.2
"220","C02W","C",2,"W",2018,"QURU",0,30.8
"221","C02W","C",2,"W",2018,"FAGR",0,18.5
"222","C02W","C",2,"W",2018,"MISC",0,48.3
"223","C02E","C",2,"E",2018,"BEPA",8.3,10.2
"224","C02E","C",2,"E",2018,"FAGR",15.1,18.9
"225","C02E","C",2,"E",2018,"POTR",8.4,8.7
"226","C02E","C",2,"E",2018,"AMEL",8.4,8.5
"227","C02E","C",2,"E",2018,"PIST",8.4,9.6
"228","C02E","C",2,"E",2018,"ACPE",8.4,17.7
"229","C02E","C",2,"E",2018,"POGR",22,172.5
"230","C02E","C",2,"E",2018,"ACRU",22.2,50.3
"231","C02E","C",2,"E",2018,"QURU",22,64
"232","C02E","C",2,"E",2018,"PIRE",8.4,14.1
"233","C02E","C",2,"E",2018,"MISC",8.4,34.3
"234","C02E","C",2,"E",2018,"CWD",8.4,16.3
"235","C03W","C",3,"W",2018,"POGR",22.1,121.9
"236","C03W","C",3,"W",2018,"ACPE",8.4,10.6
"237","C03W","C",3,"W",2018,"PIST",8.4,35.9
"238","C03W","C",3,"W",2018,"FAGR",22.2,46
"239","C03W","C",3,"W",2018,"PIRE",8.4,25.8
"240","C03W","C",3,"W",2018,"QURU",22.1,92.9
"241","C03W","C",3,"W",2018,"ACRU",22,44.6
"242","C03W","C",3,"W",2018,"BEPA",8.4,11.2
"243","C03W","C",3,"W",2018,"MISC",8.4,65.6
"244","C03W","C",3,"W",2018,"CWD",8.4,20.2
"245","C03E","C",3,"E",2018,"PIRE",8.4,14.1
"246","C03E","C",3,"E",2018,"POGR",15.3,38.1
"247","C03E","C",3,"E",2018,"ACPE",8.4,16.7
"248","C03E","C",3,"E",2018,"PIST",8.4,63.6
"249","C03E","C",3,"E",2018,"BEPA",8.4,11.4
"250","C03E","C",3,"E",2018,"AMEL",8.4,8.5
